DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Departure,Domestic,Mail,638
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Departure,International,Freight,1047
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Arrival,Domestic,Freight,16524
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Arrival,Domestic,Mail,897
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Arrival,International,Freight,1930
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,Domestic,Freight,15677
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,Domestic,Mail,547
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,International,Freight,698
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,Domestic,Freight,19030
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,Domestic,Mail,665
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,International,Freight,1904
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Departure,Domestic,Freight,18072
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Departure,Domestic,Mail,414
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Departure,International,Freight,662
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Arrival,Domestic,Freight,16177
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Arrival,Domestic,Mail,891
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Arrival,International,Freight,1873
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Departure,Domestic,Freight,14783
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Departure,Domestic,Mail,599
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Departure,International,Freight,713
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Arrival,Domestic,Freight,13579
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Arrival,Domestic,Mail,690
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Arrival,International,Freight,1870
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Departure,Domestic,Freight,14950
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Departure,Domestic,Mail,526
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Departure,International,Freight,650
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Arrival,Domestic,Freight,14734
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Arrival,Domestic,Mail,703
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Arrival,International,Freight,2360
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Departure,Domestic,Freight,14334
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Departure,Domestic,Mail,540
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Departure,International,Freight,1138
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Arrival,Domestic,Freight,13617
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Arrival,Domestic,Mail,966
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Departure,Domestic,Freight,13911
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Departure,Domestic,Mail,603
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Departure,International,Freight,766
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Departure,International,Mail,553
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Arrival,Domestic,Freight,13575
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Arrival,Domestic,Mail,670
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Arrival,International,Freight,888
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Departure,Domestic,Freight,14332
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Departure,Domestic,Mail,617
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Departure,International,Freight,811
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Arrival,Domestic,Freight,12716
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Arrival,Domestic,Mail,706
