DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Terminal 2,Arrival,Domestic,109018
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Terminal 2,Departure,Domestic,110115
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Terminal 2,Departure,International,2798
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Terminal 4,Arrival,Domestic,174791
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Terminal 4,Departure,Domestic,174257
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,International Terminal,Arrival,International,2620
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Misc. Terminal,Arrival,Domestic,512
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Misc. Terminal,Departure,Domestic,521
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Terminal 2,Arrival,Domestic,106346
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Terminal 2,Departure,Domestic,104346
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Terminal 2,Departure,International,2590
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Terminal 4,Arrival,Domestic,176014
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Terminal 4,Departure,Domestic,174103
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,International Terminal,Arrival,International,1944
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Misc. Terminal,Arrival,Domestic,289
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Misc. Terminal,Departure,Domestic,192
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Misc. Terminal,Departure,International,57
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Terminal 2,Arrival,Domestic,60682
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Terminal 2,Departure,Domestic,61706
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Terminal 2,Departure,International,1954
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Terminal 4,Arrival,Domestic,149785
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Terminal 4,Departure,Domestic,150021
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,International Terminal,Arrival,International,2518
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Misc. Terminal,Arrival,Domestic,172
