Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Youth Programs - LAPD - The City of Los Angeles,50,46,332.08,37,89.19%,76%
Expedited Processing - The City of Los Angeles,49,42,80.62,12,75%,40.82%
"Information Technology Agency, Requests for Proposals (RFP) - The City of Los Angeles",49,41,109.53,29,48.28%,38.78%
"Subdivisions (Parcel Map, Tract Map, Private Streets General Inf) - The City of Los Angeles",49,42,161.33,31,74.19%,63.27%
Survey Monument Coordinates - The City of Los Angeles,49,43,148.5,26,76.92%,75.51%
Utility Tax Exemption - The City of Los Angeles,49,42,115.55,24,79.17%,59.18%
Customer Contact Center Hours of Operation - The City of Los Angeles,48,45,77.48,1,100%,47.92%
Mayor's Office of Housing & Economic Development - The City of Los Angeles,48,39,49.37,22,54.55%,43.75%
Pumpkin and Christmas Tree Lots Permits - The City of Los Angeles,48,44,182.31,36,77.78%,72.92%
Food Service Establishment Waste Disposal Requirements - The City of Los Angeles,47,40,88,15,60%,38.3%
Overload Permits - The City of Los Angeles,47,40,547.2,12,75%,78.72%
Text-a-Tip - LAPD - The City of Los Angeles,47,42,205.5,40,85%,82.98%
Building and Safety Inspection Scheduling - The City of Los Angeles,46,36,105.45,16,68.75%,52.17%
Other Government Agencies - The City of Los Angeles,46,18,164.97,8,50%,32.61%
Permit for Major Right of Way Construction - B Permit - The City of Los Angeles,46,40,173.38,23,91.3%,71.74%
Audio and Video FAQs - The City of Los Angeles,45,30,35.43,3,100%,17.78%
Citywide Aquatics - The City of Los Angeles,45,41,112.44,20,60%,44.44%
Curbside Passenger Pickup/Dropoff - LAX - The City of Los Angeles,45,43,81.2,43,88.37%,88.89%
Government Cable TV Station- LA CityView 35 - The City of Los Angeles,45,41,221,38,63.16%,62.22%
Hyperion Treatment Plant Tours - The City of Los Angeles,45,43,169.89,42,78.57%,80%
Mayor Eric Garcetti Press Office - The City of Los Angeles,45,39,123.47,31,70.97%,66.67%
Workers' Compensation - Sworn Fire Claims - The City of Los Angeles,45,41,74.55,40,75%,75.56%
General Steps and Requirements for Various Plan Check Submittal - The City of Los Angeles,44,40,191.91,31,80.65%,75%
"Background, Certifications, Folders, Records (Personnel) - The City of Los Angeles",43,36,121.19,18,72.22%,51.16%
Industrial Wastewater Permit - The City of Los Angeles,43,37,88.72,28,67.86%,58.14%
Manual Trash Collection - The City of Los Angeles,43,41,88.88,7,71.43%,39.53%
Missing Persons - LAPD - The City of Los Angeles,43,40,167.4,40,87.5%,88.37%
Specific Plans - The City of Los Angeles,42,36,341.5,23,69.57%,57.14%
Constitutional Policing Unit - LAPD - The City of Los Angeles,41,39,77.33,38,94.74%,92.68%
Police Permits General Information - The City of Los Angeles,41,35,277.64,19,52.63%,46.34%
Report Broken Parking Meters - The City of Los Angeles,41,40,101.33,37,94.59%,92.68%
Voter Registration - The City of Los Angeles,41,35,242.81,25,68%,60.98%
Criminal Branch - The City of Los Angeles,40,36,111.47,17,70.59%,57.5%
Hazardous Materials (CUPA) - The City of Los Angeles,40,36,151.18,31,77.42%,72.5%
Most Requested Services for Businesses - The City of Los Angeles,40,36,66.51,1,100%,7.5%
Neighborhood Info - The City of Los Angeles,40,38,161.81,2,50%,60%
Permits - The City of Los Angeles,40,36,46.4,0,0%,25%
Service Detail - The City of Los Angeles,40,33,18.17,10,30%,27.5%
YouthSource System (YSCs) - Youth Career and Educational Services - The City of Los Angeles,40,39,61.29,24,95.83%,65%
Complaints regarding Bureau of Street Lighting - The City of Los Angeles,39,37,77.53,17,88.24%,56.41%
Municipal Sports - The City of Los Angeles,39,27,41.52,12,75%,41.03%
Open bids & RFP's - LAX - The City of Los Angeles,39,32,45.79,17,58.82%,51.28%
Passenger Paging - LAX - The City of Los Angeles,39,34,233.5,34,85.29%,79.49%
Rebuild Letter Request for Restoration of Damaged Buildings - The City of Los Angeles,39,35,92.75,32,90.63%,79.49%
Regularly scheduled rental housing code enforcement inspections (SCEP) - The City of Los Angeles,39,36,257.91,18,88.89%,71.79%
Household Hazardous Waste & Used Oil Recycling - The City of Los Angeles,38,35,80.47,16,81.25%,60.53%
La città di Los Angeles,38,34,48.9,33,75.76%,73.68%
Los Angeles Fire Department Brush Clearance Web Payment - The City of Los Angeles,38,27,180.24,21,19.05%,34.21%
Los Angeles Neighborhood Housing Services - The City of Los Angeles,38,32,372.2,19,68.42%,60.53%
Building Permit Clearance Handbook - The City of Los Angeles,37,33,199.87,16,87.5%,59.46%
Fire Prevention Bureau - Public Assemblage - The City of Los Angeles,37,32,170,26,61.54%,64.86%
Housing Authority of City of Los Angeles (HACLA) - Comments/Complaints - The City of Los Angeles,37,31,151.36,29,62.07%,62.16%
Inspection of Plumbing - The City of Los Angeles,37,34,301.55,25,80%,70.27%
Personnel Department Employment Verification - The City of Los Angeles,37,37,99.33,19,73.68%,51.35%
Radius Map - The City of Los Angeles,37,36,30.94,19,84.21%,54.05%
View Public Infrastructure Maps - The City of Los Angeles,37,37,203.69,10,80%,56.76%
Civic Center Area Parking Lots - The City of Los Angeles,36,32,74.6,25,80%,72.22%
Lot Split Information - The City of Los Angeles,36,33,128.3,26,88.46%,72.22%
Valley Region Headquarters - The City of Los Angeles,36,32,189.07,27,74.07%,61.11%
Volunteer Cleanup Assistance - The City of Los Angeles,36,32,292.42,26,73.08%,66.67%
Zoning Code Manual and Commentary - The City of Los Angeles,36,30,149.8,16,68.75%,58.33%
Owner-Builder Permits - The City of Los Angeles,35,29,146.36,21,66.67%,60%
Public Easement and Street Vacation - The City of Los Angeles,35,35,121,26,92.31%,77.14%
Street Resurfacing - The City of Los Angeles,35,25,107.3,6,100%,34.29%
Zoning Letter Request for Individual Property - The City of Los Angeles,35,33,293.14,28,92.86%,80%
Adult Entertainment Establishment Location Enforcement - The City of Los Angeles,34,30,70.75,23,86.96%,76.47%
BOS White and Green Mesh Trash Receptacles - The City of Los Angeles,34,32,162.41,4,100%,50%
Chinese American Museum - The City of Los Angeles,34,28,203.5,23,82.61%,70.59%
City Records Center - The City of Los Angeles,34,31,98.59,11,54.55%,50%
City's Fraud Hotline - The City of Los Angeles,34,30,82.75,1,100%,29.41%
Community Relations Office - LAPD Police Stations - The City of Los Angeles,34,26,206.08,21,66.67%,61.76%
Election Information - The City of Los Angeles,34,31,67.53,4,100%,50%
Report a Property Violation (for Apartments) - The City of Los Angeles,34,32,46.62,17,70.59%,61.76%
Spaymobile - The City of Los Angeles,34,34,146.2,28,96.43%,85.29%
Training Division - LAPD (Ahmanson Center) - The City of Los Angeles,34,29,398.25,28,75%,76.47%
Assigned Inspector Supervisor(s) - The City of Los Angeles,33,31,91.14,7,71.43%,33.33%
Department of Cultural Affairs Community Arts Division - The City of Los Angeles,33,27,140.89,18,44.44%,42.42%
Dept of Neighborhood Empowerment - Comments and Complaints - The City of Los Angeles,33,31,181.77,20,80%,60.61%
Inspection of Electrical - The City of Los Angeles,33,28,97.73,20,75%,66.67%
La ciudad de Los Ángeles,33,24,34.08,23,52.17%,60.61%
Meeting Rooms - The City of Los Angeles,33,30,165,22,86.36%,87.88%
Office of Discrimination Complaint Resolution - The City of Los Angeles,33,31,100.64,17,76.47%,57.58%
Pershing Square - The City of Los Angeles,33,30,49.08,4,75%,27.27%
Private Property Survey - The City of Los Angeles,33,29,92,26,73.08%,69.7%
Request for an Inspection by a Deputy Inspector - The City of Los Angeles,33,28,80.13,18,77.78%,51.52%
Status or Disposition of a Construction Plan - The City of Los Angeles,33,23,173.06,15,60%,48.48%
Stormwater Drainage/Flooding Complaint - The City of Los Angeles,33,30,341.8,26,92.31%,84.85%
Banner Permits - The City of Los Angeles,32,29,131.16,6,50%,40.63%
Currency Exchange -- LAX - The City of Los Angeles,32,30,659,30,93.33%,93.75%
Development Services Case Management - The City of Los Angeles,32,25,153.54,21,66.67%,59.38%
Fire Permits Renewal Information - The City of Los Angeles,32,27,366.93,17,64.71%,56.25%
LA PARKS Service Request Application - The City of Los Angeles,32,29,64,8,75%,62.5%
Restaurant & Hospitality Express Permitting Program - The City of Los Angeles,32,26,149.67,19,57.89%,53.13%
America Tropical Interpretive Center - The City of Los Angeles,31,29,42,22,90.91%,74.19%
Bradley Series 1973-1993 - The City of Los Angeles,31,30,68.28,1,0%,6.45%
Department of Cultural Affairs Public Art Division - The City of Los Angeles,31,27,210.23,24,62.5%,58.06%
Excavation Permit for Private Contractors - E Permit - The City of Los Angeles,31,27,240.75,14,64.29%,61.29%
Excavation Permit for Utility Companies - U Permit - The City of Los Angeles,31,27,261.5,20,80%,74.19%
High-Rise Fire Safety Enforcement - The City of Los Angeles,31,22,150.61,19,36.84%,41.94%
Human Trafficking Task Force - LAPD - The City of Los Angeles,31,27,84.25,24,79.17%,74.19%
LA Kids - The City of Los Angeles,31,30,20.12,6,100%,45.16%
Other City Commissions - The City of Los Angeles,31,25,11.65,0,0%,0%
Peak Hours Construction Enforcement - The City of Los Angeles,31,28,96.44,17,64.71%,48.39%
Requests for Fire Investigation Reports - The City of Los Angeles,31,23,325.47,12,58.33%,51.61%
Riordan Series 1993-2001 - The City of Los Angeles,31,29,10.3,0,0%,3.23%
Fire Dept. Fire Station Locations - The City of Los Angeles,30,23,59.67,16,68.75%,70%
Marty Tregnan Golf Academy - The City of Los Angeles,30,28,87.25,28,85.71%,86.67%
Small Business Loan Program - The City of Los Angeles,30,23,245.93,21,66.67%,53.33%
Viewing of Sanborn Maps - The City of Los Angeles,30,24,305.43,23,78.26%,76.67%
City of Los Angeles Office of Finance Paperless Statements Program - The City of Los Angeles,29,27,137.52,3,66.67%,27.59%
Emergency response for street light out or damaged - The City of Los Angeles,29,26,59.06,6,100%,37.93%
Sewer Odor Control - The City of Los Angeles,29,28,509.25,17,94.12%,86.21%
Special Event Traffic Control Requests - The City of Los Angeles,29,22,78.64,8,25%,24.14%
West Traffic Division - LAPD - The City of Los Angeles,29,29,558,28,96.43%,93.1%
Commission Investigation Division - LAPD - The City of Los Angeles,28,25,340.7,9,66.67%,64.29%
Council Files - The City of Los Angeles,28,23,51.38,11,72.73%,53.57%
Park Rangers - The City of Los Angeles,28,27,113.67,19,73.68%,67.86%
Special Operations Division - LAPD - The City of Los Angeles,28,26,110.5,26,96.15%,92.86%
"Traffic Divisions, Front Desk (4 Bureaus) - The City of Los Angeles",28,25,75.5,8,87.5%,64.29%
Certification of Disadvantaged Business Enterprises (DBE) - The City of Los Angeles,27,23,190,11,81.82%,62.96%
Creature Camp Out at the Los Angeles Zoo - The City of Los Angeles,27,24,58.8,9,88.89%,62.96%
HCIDLA public records requests & subpoena acceptance - The City of Los Angeles,27,20,172.29,17,52.94%,48.15%
Homeowner Guide for Additions and Remodeling - The City of Los Angeles,27,22,142.07,16,50%,48.15%
Los Angeles City Utility Tax Information - The City of Los Angeles,27,22,47,8,62.5%,29.63%
"Los Angeles Homeless Services Authority, Comments and Complaints - The City of Los Angeles",27,24,57,7,71.43%,22.22%
Neighborhood Watch - LAPD - The City of Los Angeles,27,13,156.76,12,66.67%,37.04%
Request Storm Drain Maintenance/Repair - The City of Los Angeles,27,23,264.6,20,90%,81.48%
Summer Youth Employment Program - The City of Los Angeles,27,22,56.21,5,60%,29.63%
"Tract Maps, Parcel Maps - The City of Los Angeles",27,24,79.2,7,42.86%,25.93%
Wildlife - The City of Los Angeles,27,25,150.75,20,65%,70.37%
Advanced Notification of Permit Expiration - The City of Los Angeles,26,23,43.2,6,66.67%,42.31%
Construction Surface Water and Groundwater Management - The City of Los Angeles,26,18,50.22,2,0%,11.54%
Fishing - The City of Los Angeles,26,23,319.71,15,80%,73.08%
Illegal Dumping Crime Tip - The City of Los Angeles,26,21,270.76,6,83.33%,34.62%
Restraining Orders - The City of Los Angeles,26,26,56.33,24,87.5%,88.46%
Civil Air Patrol-VNY - The City of Los Angeles,25,17,15.63,17,76.47%,68%
"Grant/Quitclaim Deeds, Recording of Documents, and Mechanic Liens - The City of Los Angeles",25,23,274.71,12,91.67%,72%
Transportation FAQ - The City of Los Angeles,25,23,51.17,0,0%,52%
Water and power conservation information - The City of Los Angeles,25,22,232.36,8,62.5%,56%
Centerline Notes - The City of Los Angeles,24,22,184.45,6,100%,54.17%
Christmas Tree Recycling - The City of Los Angeles,24,20,68.75,4,75%,50%
City Risk Management - The City of Los Angeles,24,21,48.29,9,77.78%,70.83%
Employment Verification for Past City Employees - The City of Los Angeles,24,24,73.75,19,84.21%,83.33%
Executive Opportunities - The City of Los Angeles,24,24,55,0,0%,29.17%
Friendship Auditorium - The City of Los Angeles,24,23,31.82,10,80%,54.17%
Funding Capital Projects (Community Development Block Grants) - The City of Los Angeles,24,22,107.3,11,90.91%,58.33%
Hearing Notices - The City of Los Angeles,24,21,46,16,50%,50%
Hydrants & Access Unit - The City of Los Angeles,24,17,175.91,12,58.33%,54.17%
Refunds/Claims - The City of Los Angeles,24,20,356.09,7,71.43%,54.17%
Standing/Ponding/Stagnant Water (West Nile Virus) - The City of Los Angeles,24,21,100.89,14,92.86%,62.5%
Swimming Pool Draining Tips - The City of Los Angeles,24,21,168,17,76.47%,70.83%
Tobacco Retailer's Permit General Information - The City of Los Angeles,24,22,165,18,88.89%,79.17%
Valley Traffic Division - LAPD - The City of Los Angeles,24,23,127,22,95.45%,95.83%
Zoning Affidavit Verification - The City of Los Angeles,24,23,118.67,15,93.33%,75%
Become a Docent at El Pueblo - The City of Los Angeles,23,23,47.8,0,0%,13.04%
Board of Building and Safety Commission Appeals - The City of Los Angeles,23,21,155.5,11,81.82%,56.52%
Breeding Animals - The City of Los Angeles,23,22,36.18,2,100%,26.09%
Emergency Vehicle Operations Center - LAPD - The City of Los Angeles,23,22,35,22,95.45%,95.65%
Fire Safety Inspection Records - The City of Los Angeles,23,21,39.14,10,50%,39.13%
Historic Preservation - The City of Los Angeles,23,22,51.43,13,76.92%,69.57%
Internal Affairs Group - LAPD - The City of Los Angeles,23,20,185.6,20,75%,78.26%
"Public Works Projects Bid Results, Summaries, and Evaluations - The City of Los Angeles",23,18,261.5,12,66.67%,47.83%
Request for Proposal - The City of Los Angeles,23,19,103.87,5,60%,34.78%
Volunteer Information Professionals (VIP) - The City of Los Angeles,23,22,106.71,9,88.89%,39.13%
Business Customer Service Requests - The City of Los Angeles,22,22,56.33,18,94.44%,86.36%
City Planning Commission (CPC) - The City of Los Angeles,22,21,86.17,1,100%,45.45%
Griffith Park - The City of Los Angeles,22,22,185.88,5,100%,63.64%
Labor Compliance Monitoring - The City of Los Angeles,22,21,68.11,10,90%,59.09%
Personnel Department Deferred Compensation - The City of Los Angeles,22,18,152.77,7,71.43%,40.91%
Pour Visiteurs - La ville de Los Angeles,22,12,32.61,1,0%,18.18%
Project Design Review - The City of Los Angeles,22,21,81,10,50%,31.82%
"Public Pay Phones, TDD - ONT - The City of Los Angeles",22,20,25.25,20,85%,81.82%
Recreation and Parks Wedding or Event Sites - The City of Los Angeles,22,21,219.89,8,87.5%,59.09%
Septic Tanks - Private Sewage Disposal System - The City of Los Angeles,22,20,113.2,13,61.54%,54.55%
Housing Loan Servicing and Management - The City of Los Angeles,21,20,106,9,88.89%,71.43%
Library Hours/Locations - The City of Los Angeles,21,21,109.5,7,100%,71.43%
Miasto Los Angeles,21,19,229.25,19,78.95%,80.95%
"Public, Educational and Community Cable TV Station- LA 36 - The City of Los Angeles",21,18,45.5,18,77.78%,80.95%
Trash and Recycling Transfer Station - The City of Los Angeles,21,17,53.45,7,71.43%,47.62%
Behavioral Science Services - LAPD - The City of Los Angeles,20,20,32,20,95%,95%
Building Trade Examination Applications and Licenses - The City of Los Angeles,20,18,50,13,76.92%,65%
Burglar Alarms - LAPD - The City of Los Angeles,20,19,40.64,8,50%,45%
California Highway Patrol (CHP)/Southern Division - The City of Los Angeles,20,18,75.17,17,64.71%,70%
"Employment Verification-City Clerk, Mayor, Council - The City of Los Angeles",20,19,65.7,4,75%,50%
Graffiti and Illegal Dumping Reward Program Applications - LAPD - The City of Los Angeles,20,15,88.78,9,77.78%,55%
La Plaza de Cultura y Artes - The City of Los Angeles,20,17,153.4,17,76.47%,75%
Media Relations & Community Affairs Group - LAPD - The City of Los Angeles,20,18,32.5,13,100%,80%
Parking at El Pueblo - The City of Los Angeles,20,17,235.8,15,66.67%,75%
Personnel Department Police Officer Selection - The City of Los Angeles,20,19,139.83,5,100%,70%
Recreation and Parks Senior Citizen Center - The City of Los Angeles,20,17,37.75,12,75%,60%
Robbery-Homicide Division - LAPD - The City of Los Angeles,20,17,141.6,17,76.47%,75%
Servicios en toda la ciudad - La Ciudad de Los Ángeles,20,15,81.79,0,0%,5%
Sewer Capacity Availability Review and Clearance - The City of Los Angeles,20,17,316.13,17,64.71%,60%
Stormwater Plan Checks - The City of Los Angeles,20,18,65.83,13,76.92%,70%
Very High Fire Hazard Severity Zone Map - The City of Los Angeles,20,20,0,20,100%,100%
Wood Frame Provisions for One Story Residential Construction - The City of Los Angeles,20,17,111.13,12,75%,60%
Zoo Docent & Student Volunteers - The City of Los Angeles,20,18,161.07,5,40%,25%
Department of Cultural Affairs Grants Administration Division - The City of Los Angeles,19,18,134.17,12,91.67%,68.42%
Department of Cultural Affairs Marketing and Development Division - The City of Los Angeles,19,17,127.5,4,75%,36.84%
Energy Conservation - The City of Los Angeles,19,17,19.85,5,80%,31.58%
Grace E. Simons Lodge - The City of Los Angeles,19,18,68,9,77.78%,42.11%
Hanging Shoes Removal from Utility Lines - The City of Los Angeles,19,15,25.5,13,84.62%,68.42%
Indian Rhino Encounter - The City of Los Angeles,19,18,37.25,11,90.91%,78.95%
Lot Cleaning - The City of Los Angeles,19,16,289.64,4,75%,42.11%
Para Visitantes - La ciudad de Los Ángeles,19,11,54.73,1,100%,21.05%
Requesting Street Light glare shields - The City of Los Angeles,19,18,34.67,17,94.12%,84.21%
Underground Storage Tank - File Review - The City of Los Angeles,19,19,20,18,94.44%,94.74%
Affirmative Action Monitoring of City Contractors - The City of Los Angeles,18,16,39,2,100%,33.33%
Bids and Construction Contracts - The City of Los Angeles,18,17,39,4,75%,83.33%
Building and Safety Inspection Results - The City of Los Angeles,18,16,154.5,6,66.67%,66.67%
Complaint - The City of Los Angeles,18,17,54.46,6,33.33%,27.78%
Council Journal/Actions/Minutes - The City of Los Angeles,18,17,247.17,9,66.67%,66.67%
DataLA-Open Data Portal for the City of Los Angeles - The City of Los Angeles,18,16,160.75,2,0%,77.78%
"Fats, Oil and Grease Control Program - The City of Los Angeles",18,17,34.25,13,84.62%,77.78%
Fire Prevention Bureau - Fire Protection Equipment - The City of Los Angeles,18,13,50,12,66.67%,72.22%
General Time Frame for Plan Check/Review - The City of Los Angeles,18,13,109.55,9,66.67%,38.89%
Hazardous Waste Generator Program - The City of Los Angeles,18,16,52.85,5,80%,27.78%
Hillside Construction Plan Review - The City of Los Angeles,18,16,127.71,11,63.64%,61.11%
Housing Discrimination Prevention (Fair Housing Services) - The City of Los Angeles,18,15,164,1,100%,38.89%
Industrial and Commercial Unit - Permits - The City of Los Angeles,18,12,135.33,2,50%,16.67%
LADWP Central Operator - The City of Los Angeles,18,18,140,14,71.43%,66.67%
Library Complaints - The City of Los Angeles,18,11,378.44,9,44.44%,50%
"Parking, Elderly & Disabled -- LAX - The City of Los Angeles",18,17,85.4,11,90.91%,72.22%
Staden Los Angeles,18,15,31,15,73.33%,77.78%
Vote-By-Mail - The City of Los Angeles,18,15,81.5,9,55.56%,66.67%
Affordable Housing Bond Program - The City of Los Angeles,17,15,244.57,9,66.67%,58.82%
Bicycle License - LAPD - The City of Los Angeles,17,17,246.33,15,86.67%,82.35%
Bunker Hill/ Union Station/ Metrolink Shuttle - The City of Los Angeles,17,16,64.4,14,78.57%,70.59%
Citywide Construction and Demolition Waste Recycling Requirements - The City of Los Angeles,17,15,77.11,9,77.78%,47.06%
Criminal Investigation Division - LAPD - The City of Los Angeles,17,14,304.33,12,75%,64.71%
Debt Management - The City of Los Angeles,17,16,163.8,13,76.92%,70.59%
Disability Access and Services - The City of Los Angeles,17,15,122.7,6,66.67%,41.18%
Dog Bites - The City of Los Angeles,17,15,94.67,8,87.5%,64.71%
Emergency Operations Division - LAPD - The City of Los Angeles,17,15,32.67,13,92.31%,82.35%
Environmental Review and Analysis - The City of Los Angeles,17,17,382.75,4,75%,52.94%
Fire Recruitment Information - The City of Los Angeles,17,17,106,8,62.5%,47.06%
Japanese Garden Docent-led Tours - The City of Los Angeles,17,14,25.15,1,0%,23.53%
LAX Substation - LAPD - The City of Los Angeles,17,16,49.8,15,80%,70.59%
Orcutt Ranch - The City of Los Angeles,17,17,87.21,2,50%,17.65%
Permit for Minor Right of Way Construction - A Permit - The City of Los Angeles,17,17,22,4,100%,76.47%
Purchase of Service Credit - The City of Los Angeles,17,17,62.91,3,33.33%,35.29%
Senior and Caregiver Legal Services - The City of Los Angeles,17,14,159.2,12,91.67%,70.59%
Above Sea Level Survey Benchmarks - The City of Los Angeles,16,14,342.67,9,88.89%,81.25%
Accounts Receivable - The City of Los Angeles,16,14,222.67,5,80%,43.75%
Automated Records & Files - The City of Los Angeles,16,16,55,12,91.67%,68.75%
Election Results and Statistics - The City of Los Angeles,16,15,85.33,2,100%,43.75%
Final Map Clearance of Subdivision Maps - The City of Los Angeles,16,11,46.8,1,0%,6.25%
Fort MacArthur Military Museum - The City of Los Angeles,16,15,181.4,3,100%,37.5%
Free City Wi-Fi and Public Access Computers - The City of Los Angeles,16,11,81.2,3,66.67%,37.5%
Low Income Home Energy Assistance Program (LIHEAP) - The City of Los Angeles,16,13,48,11,63.64%,62.5%
Provide your feedback to Bureau of Sanitation - The City of Los Angeles,16,12,147.67,1,100%,25%
Requirements when Selling Residential and Commercial Property - The City of Los Angeles,16,15,49.75,11,81.82%,75%
Residential Bill Information On Line - The City of Los Angeles,16,15,19,5,80%,62.5%
Tobacco Retailer's Permit Renewal Information - The City of Los Angeles,16,14,59,8,75%,75%
Urban Forestry Program - The City of Los Angeles,16,12,199.18,2,0%,31.25%
Vendor Payment Services - The City of Los Angeles,16,15,94.7,5,80%,37.5%
Adopt-A-Median / Community Beautification - The City of Los Angeles,15,14,86,14,78.57%,80%
Certification of Women Business Enterprises (WBE) - The City of Los Angeles,15,15,119.22,2,50%,40%
City Contracts - Online Search - The City of Los Angeles,15,15,55.33,3,100%,80%
Coroner - The City of Los Angeles,15,12,143.4,8,75%,66.67%
Los Angeles Harbor Department Historical Archives - The City of Los Angeles,15,15,21,2,100%,33.33%
Professional Standards Bureau - LAPD - The City of Los Angeles,15,15,56.5,14,85.71%,86.67%
Rapid Response Lay-Off Aversion Information - The City of Los Angeles,15,13,75.2,4,100%,33.33%
Recreation Center Information - The City of Los Angeles,15,11,217.14,4,75%,53.33%
"Submit a Campaign Finance, Lobbying or Governmental Ethics Complaint - The City of Los Angeles",15,12,244.29,4,50%,53.33%
Supply Services and Purchasing for the City of LA - The City of Los Angeles,15,13,39.38,2,100%,46.67%
Swimming Pool Facilities - The City of Los Angeles,15,15,143,10,90%,86.67%
Affordable Housing Trust Fund - The City of Los Angeles,14,13,186.4,7,85.71%,64.29%
Building and Safety Saturday Inspections - The City of Los Angeles,14,12,20.86,0,0%,0%
Building Trade Licensing - The City of Los Angeles,14,13,45.8,4,100%,64.29%
Cash for College - Free Financial Aid for College - The City of Los Angeles,14,13,69.18,1,100%,21.43%
Chief of Police - Los Angeles Police Department - The City of Los Angeles,14,13,293.83,5,80%,57.14%
Commission on Community & Family Services - The City of Los Angeles,14,12,49.89,3,100%,35.71%
Council District 11 - The City of Los Angeles,14,12,148,9,66.67%,71.43%
Filing Incident Claim with The Los Angeles Convention Center - The City of Los Angeles,14,10,67,1,0%,7.14%
Filming Permits/Filming Inspections/Studio Inspections - The City of Los Angeles,14,12,192.4,6,100%,64.29%
GIS Map Gallery Department of City Planning - The City of Los Angeles,14,12,184.25,6,50%,42.86%
Los Angeles Fire Department Volunteer Programs - The City of Los Angeles,14,14,55,1,100%,35.71%
Meter Request Service - The City of Los Angeles,14,13,38.17,2,100%,14.29%
Online Noise Complaint Form -- LAX - The City of Los Angeles,14,14,54,5,100%,42.86%
Para Visitantes - La Ciudad de Los Ángeles,14,10,28.1,0,0%,28.57%
Personnel Department Classification Division - The City of Los Angeles,14,11,56.9,1,100%,28.57%
Recycling for Apartments and Condos - The City of Los Angeles,14,14,48.83,2,50%,57.14%
Report Illegal Use of Disabled Parking and Placards - The City of Los Angeles,14,11,168.67,5,80%,57.14%
Restaurant Hospitality Express Program (RHEP) - The City of Los Angeles,14,12,134.5,6,83.33%,71.43%
Speakers Bureau - LAX - The City of Los Angeles,14,12,290.38,3,66.67%,42.86%
Tobacco Enforcement Program - The City of Los Angeles,14,11,19.56,5,60%,35.71%
Trees for a Green LA Program - The City of Los Angeles,14,13,87.17,7,85.71%,57.14%
View Lobbying Quarterly Reports - The City of Los Angeles,14,12,16.33,11,90.91%,78.57%
Volunteer Opportunities at the L.A. Public Library - The City of Los Angeles,14,13,138.44,3,100%,35.71%
Zoo World Patch Program for Scouts - The City of Los Angeles,14,12,160.67,11,81.82%,78.57%
Affordable Housing Real Estate Acquisition & Pre-Development Loans - The City of Los Angeles,13,12,119.17,6,100%,53.85%
Animal Protection Unit - The City of Los Angeles,13,13,50.78,1,100%,30.77%
Area Planning Commissions (APC) - The City of Los Angeles,13,9,94.88,1,100%,38.46%
Certification of Small and Local Business Enterprises (SLBE) - The City of Los Angeles,13,13,308.4,2,100%,61.54%
City Budget Information - The City of Los Angeles,13,12,205.8,2,100%,61.54%
City Telephone Directory for Sale - The City of Los Angeles,13,13,56.86,3,66.67%,46.15%
Department of Cultural Affairs Watts Towers Campus - The City of Los Angeles,13,11,219.5,7,71.43%,53.85%
Electrical or Fire Life Safety Questions - The City of Los Angeles,13,9,58.83,8,50%,53.85%
Employee Assistance Unit - LAPD - The City of Los Angeles,13,12,198.4,8,87.5%,61.54%
Equestrian Center - The City of Los Angeles,13,11,16.11,2,100%,30.77%
FamilySource System (FSCs) - Community Centers for Families with Youth - The City of Los Angeles,13,12,84.33,8,87.5%,76.92%
Fiscal Operations Division - LAPD - The City of Los Angeles,13,12,818.33,9,66.67%,76.92%
Incentives: State Enterprise Zone Program - The City of Los Angeles,13,12,222.33,10,70%,76.92%
Information Technology Bureau - LAPD - The City of Los Angeles,13,12,75,8,75%,53.85%
Permit for Above Ground Telecommunication or Utility Facility - The City of Los Angeles,13,11,187.4,8,62.5%,61.54%
Personnel Department Firefighter Selection Process - The City of Los Angeles,13,10,78.29,1,0%,46.15%
"Port/Harbor Law Enforcement, Security - The City of Los Angeles",13,12,21.6,5,100%,61.54%
Property Division - LAPD - The City of Los Angeles,13,12,52.6,8,87.5%,61.54%
Recruitment and Employment Division - LAPD - The City of Los Angeles,13,11,89.33,8,75%,76.92%
Sand and Sandbag Information - The City of Los Angeles,13,9,566.5,9,55.56%,69.23%
Senior Training and Employment - The City of Los Angeles,13,11,374.4,5,60%,61.54%
Septic Systems - Onsite Wastewater Treatment Systems (OWTS) Program - The City of Los Angeles,13,13,35,10,90%,92.31%
Solid Resources Fee (SRF) Information - The City of Los Angeles,13,12,54.2,6,100%,61.54%
Stormwater Services - The City of Los Angeles,13,12,102.43,5,40%,46.15%
"Tract, parcel map, private street pre-consultation - The City of Los Angeles",13,11,218.13,9,55.56%,38.46%
Workers' Compensation Fraud - The City of Los Angeles,13,12,39.83,10,60%,53.85%
AIDS Coordinator Office - The City of Los Angeles,12,11,12,11,90.91%,91.67%
Business Inclusion Program - The City of Los Angeles,12,11,38.4,7,71.43%,58.33%
Estimated Inspection Time of Arrival Lookup or Inquiry - The City of Los Angeles,12,10,128.4,8,75%,58.33%
LAHSA General Information - The City of Los Angeles,12,12,221.4,4,100%,58.33%
