Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Contact - The City of Los Angeles,658,514,197.64,164,71.95%,57.45%
tweets - The City of Los Angeles,654,561,105.51,79,67.09%,36.85%
Holiday Trash Collection - The City of Los Angeles,643,600,141.73,450,84.67%,77.45%
Health & Human Services - The City of Los Angeles,633,470,49.84,149,55.03%,23.7%
Public Infrastructure & Landscape - The City of Los Angeles,633,492,60.42,54,64.81%,21.33%
Juvenile Detention Centers - (LAPD and County) - The City of Los Angeles,626,521,125.3,511,67.51%,69.01%
Driving Direction - The City of Los Angeles,622,493,114.44,56,73.21%,35.69%
Parking Enforcement Officer Complaints - The City of Los Angeles,596,529,203.63,412,74.03%,71.98%
Environmental Services - The City of Los Angeles,595,464,30.54,56,44.64%,12.94%
Police Reports (How to make reports/obtain copies) - The City of Los Angeles,574,515,250.95,498,84.54%,82.23%
Public Safety & Emergency Services - The City of Los Angeles,554,450,37.77,10,30%,9.57%
Council District 14 - The City of Los Angeles,552,469,167.67,421,70.31%,69.02%
"Council, Council Committees, & Ad Hoc Committees - The City of Los Angeles",547,452,85.84,198,59.6%,40.77%
Certificate of Occupancy General Information - The City of Los Angeles,543,455,206.35,398,68.34%,62.98%
Reporting Stolen Cars - LAPD - The City of Los Angeles,535,479,278.29,461,85.68%,84.11%
Neighborhood Councils - The City of Los Angeles,523,411,154.43,330,67.88%,60.99%
Press Releases - The City of Los Angeles,496,335,79.54,124,41.13%,23.59%
How Many Dogs And Cats Can I Have At My Home - The City of Los Angeles,466,417,136.82,249,84.74%,66.95%
FAQs - The City of Los Angeles,457,336,100.71,81,64.2%,33.26%
Graffiti Removal - Community Beautification - The City of Los Angeles,455,407,251.79,267,80.52%,75.82%
Submitted - The City of Los Angeles,444,400,41.5,30,63.33%,41.22%
Building Inspection - The City of Los Angeles,435,376,128.02,276,70.29%,60%
Fence Heights Code - The City of Los Angeles,422,348,256.67,325,75.69%,73.46%
