DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1696855
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Departure,International,Charter,45
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Departure,International,Commuter,1634
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Departure,International,Scheduled Carriers,722275
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Arrival,Domestic,Charter,411
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Arrival,Domestic,Commuter,172403
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1808012
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Arrival,International,Charter,102
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Arrival,International,Commuter,1436
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Arrival,International,Scheduled Carriers,725426
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Departure,Domestic,Charter,600
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Departure,Domestic,Commuter,165153
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1848219
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Departure,International,Commuter,1689
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Departure,International,Scheduled Carriers,786572
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Arrival,Domestic,Charter,295
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Arrival,Domestic,Commuter,171685
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1951129
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Arrival,International,Charter,280
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Arrival,International,Commuter,1603
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Arrival,International,Scheduled Carriers,866526
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Departure,Domestic,Charter,290
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Departure,Domestic,Commuter,169418
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1943764
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Departure,International,Commuter,1589
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Departure,International,Scheduled Carriers,813144
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Arrival,Domestic,Charter,124
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Arrival,Domestic,Commuter,162122
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1879821
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Arrival,International,Charter,127
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Arrival,International,Commuter,1001
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Arrival,International,Scheduled Carriers,840270
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Departure,Domestic,Charter,664
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Departure,Domestic,Commuter,163622
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1922139
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Departure,International,Commuter,1423
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Departure,International,Scheduled Carriers,773930
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Arrival,Domestic,Charter,1720
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Arrival,Domestic,Commuter,162552
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1543233
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Arrival,International,Charter,35
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Arrival,International,Commuter,1061
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Arrival,International,Scheduled Carriers,659658
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Departure,Domestic,Charter,912
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Departure,Domestic,Commuter,155142
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1522862
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Departure,International,Commuter,1274
