CSR Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Street Zip,Date Received,Date Closed,Due Date,Case Flag,CSR Priority,GIS Parcel Identification Number(PIN),CSR Problem Type,Area Planning Commission (APC),Case Number Related to CSR,Response Days,Latitude/Longitude,CSR_CASE_NUMBER
331442,1132,2158,,W,29TH,ST,,90018,06/30/2014,,07/29/2014,N,3,120B189    41,BUSINESS OPERATED FROM A HOUSE OR GARAGE,South Los Angeles,,,"(34.02898, -118.31362)",331442-331442
326856,1132,2238,,W,29TH,ST,,90018,04/18/2014,,05/16/2014,N,2,120B189    56,ANY CHANGES DONE TO A PROPERTY IN AN HISTORICAL AREA,South Los Angeles,,,"(34.02897, -118.31592)",326856-326856
327879,1132,2311,,W,29TH,PL,,90018,05/05/2014,,06/03/2014,N,3,120B189   123,AUTOMOBILE REPAIR CONDUCTED ON RESIDENTIAL PROPERTY (SINGLE FAMILY DWELLINGS ONLY),South Los Angeles,,,"(34.02833, -118.31813)",327879-327879
315241,2121,360,,E,2ND,ST,,90012,09/09/2013,,10/08/2013,N,3,129A215   135,MISCELLANEOUS COMPLAINTS,Central,,,"(34.04805, -118.24011)",315241-315241
321399,2121,2235,,E,2ND,ST,,90033,01/15/2014,,02/13/2014,N,3,127-5A223 214,MISCELLANEOUS COMPLAINTS,East Los Angeles,,,"(34.04311, -118.21201)",321399-321399
331460,2121,2314,,E,2ND,ST,,90033,06/30/2014,,07/29/2014,N,3,127-5A223 303,MISCELLANEOUS COMPLAINTS,East Los Angeles,,,"(34.04255, -118.21142)",331460-331460
307039,2121,2319,,E,2ND,ST,,90033,05/01/2013,,05/30/2013,N,3,127-5A223 254,OPEN STORAGE OF VEHICLES THAT CANNOT BE LEGALLY OPERATED (E.G. JUNK CARS),East Los Angeles,,,"(34.04277, -118.21125)",307039-307039
332560,1132,2513,,S,2ND,AVE,,90018,07/17/2014,,08/14/2014,N,2,123B189   537,ANY CHANGES DONE TO A PROPERTY IN AN HISTORICAL AREA,South Los Angeles,,,"(34.03389, -118.31907)",332560-332560
321586,1132,2515,,S,2ND,AVE,,90018,01/18/2014,,02/18/2014,N,2,123B189   537,ANY CHANGES DONE TO A PROPERTY IN AN HISTORICAL AREA,South Los Angeles,,,"(34.03375, -118.31907)",321586-321586
329014,2121,2600,,E,2ND,ST,,90033,05/23/2014,,06/23/2014,N,3,126A223    62,BUILDINGS IN NEED OF GENERAL REPAIR,East Los Angeles,,,"(34.04088, -118.20824)",329014-329014
330231,2121,2600,,E,2ND,ST,,90033,06/12/2014,,07/11/2014,N,3,126A223    62,BUILDINGS IN NEED OF GENERAL REPAIR,East Los Angeles,,,"(34.04088, -118.20824)",330231-330231
325071,1132,2807,,S,2ND,AVE,,90018,03/20/2014,,04/18/2014,N,2,123B189  1155,CONSTRUCTION IN PROGRESS WITHOUT PERMITS OR INSPECTIONS,South Los Angeles,,,"(34.02935, -118.31891)",325071-325071
332991,1132,4145,,S,2ND,AVE,,90008,07/24/2014,,08/21/2014,N,3,114B189   683,OVERGROWN OR EXCESSIVE VEGETATION,South Los Angeles,,,"(34.00924, -118.3194)",332991-332991
317930,1132,2018,,W,30TH,ST,,90018,10/28/2013,,11/26/2013,N,2,120B193   383,ANY CHANGES DONE TO A PROPERTY IN AN HISTORICAL AREA,South Los Angeles,,,"(34.02729, -118.30953)",317930-317930
322339,1132,2061,,W,30TH,ST,,90018,02/02/2014,,03/03/2014,N,3,120B193   306,TOO MANY ITEMS STORED ON PROPERTY (JUNK),South Los Angeles,,,"(34.0275, -118.31073)",322339-322339
331508,1132,2321,,W,31ST,ST,,90018,07/01/2014,,07/30/2014,N,3,120B189   498,TOO MANY ITEMS STORED ON PROPERTY (JUNK),South Los Angeles,,,"(34.02659, -118.31832)",331508-331508
314450,2121,2023,,E,3RD,ST,,90033,08/27/2013,,09/25/2013,N,3,127-5A221 123,MISCELLANEOUS COMPLAINTS,East Los Angeles,,,"(34.04345, -118.21529)",314450-314450
321114,2121,2304,,E,3RD,ST,,90033,01/09/2014,,02/06/2014,N,3,127-5A223 359,MISCELLANEOUS COMPLAINTS,East Los Angeles,,,"(34.04185, -118.21227)",321114-321114
323515,1133,3501,,W,3RD,ST,,90004,02/24/2014,,03/24/2014,N,2,135B197   163,CONSTRUCTION IN PROGRESS WITHOUT PERMITS OR INSPECTIONS,Central,,,"(34.0692, -118.2922)",323515-323515
317559,1132,3617,,S,3RD,AVE,,90018,10/21/2013,,11/19/2013,N,3,120B189  1330,AUTOMOBILE REPAIR CONDUCTED ON RESIDENTIAL PROPERTY (SINGLE FAMILY DWELLINGS ONLY),South Los Angeles,,,"(34.02228, -118.32022)",317559-317559
323257,1133,3658,,W,3RD,ST,,90020,02/19/2014,,03/19/2014,N,3,135B197   188,MISCELLANEOUS COMPLAINTS,Central,,,"(34.06889, -118.2959)",323257-323257
327720,1133,3658,,W,3RD,ST,,90020,05/01/2014,,05/30/2014,N,3,135B197   188,MISCELLANEOUS COMPLAINTS,Central,,,"(34.06889, -118.2959)",327720-327720
332476,1132,3411,,W,43RD,PL,,90008,07/17/2014,,08/14/2014,N,3,114B185  1194,MISCELLANEOUS COMPLAINTS,South Los Angeles,,,"(34.00442, -118.33203)",332476-332476
313438,1132,3450,,W,43RD,ST,,90008,08/09/2013,,09/09/2013,N,3,114B185  1029,MISCELLANEOUS COMPLAINTS,South Los Angeles,,,"(34.00565, -118.33294)",313438-313438
329900,1133,1012,,S,4TH,AVE,,90019,06/06/2014,,07/07/2014,N,2,129B189   221,CONSTRUCTION DONE WITHOUT PERMITS OR INSPECTIONS,Central,,,"(34.05261, -118.31868)",329900-329900
308736,2121,3100,,E,4TH,ST,,90063,05/29/2013,,06/26/2013,N,3,124-5A225 174,TRASH OR DEBRIS ON PRIVATE PROPERTY,East Los Angeles,,,"(34.03571, -118.20117)",308736-308736
324340,2121,3250,,E,4TH,ST,,90063,03/11/2014,,04/09/2014,N,3,124-5A227 305,MISCELLANEOUS COMPLAINTS,East Los Angeles,,,"(34.03467, -118.19881)",324340-324340
330611,1132,3446,,S,4TH,AVE,,90018,06/18/2014,,07/17/2014,N,2,120B189   960,BUILDING OR PROPERTY CONVERTED TO ANOTHER USE,South Los Angeles,,,"(34.0241, -118.32112)",330611-330611
322139,1132,4191,,S,4TH,AVE,,90008,01/29/2014,,02/27/2014,N,2,114B189  1004,CONSTRUCTION IN PROGRESS WITHOUT PERMITS OR INSPECTIONS,South Los Angeles,,,"(34.00791, -118.32151)",322139-322139
310963,1133,964,,S,5TH,AVE,,90019,07/02/2013,,07/31/2013,N,3,132B189  1170,BUILDINGS IN NEED OF GENERAL REPAIR,Central,,,"(34.05424, -118.31906)",310963-310963
310961,1133,967,,S,5TH,AVE,,90019,07/02/2013,,07/31/2013,N,3,132B189  1157,OVERGROWN OR EXCESSIVE VEGETATION,Central,,,"(34.05422, -118.31935)",310961-310961
316343,1133,1247,,S,5TH,AVE,,90019,09/27/2013,,10/28/2013,N,2,129B189   791,CONSTRUCTION IN PROGRESS WITHOUT PERMITS OR INSPECTIONS,Central,,,"(34.04858, -118.32209)",316343-316343
