Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Part-Time & Temporary Jobs | City of Los Angeles,1210,880,0:00:29,24,36.36%,16.45%
Education and Personal Development | City of Los Angeles,1177,978,0:00:28,22,33.33%,14.53%
City Government - The City of Los Angeles,1152,907,0:00:36,21,23.81%,16.93%
Blocked Driveways | City of Los Angeles,1134,1006,0:08:33,950,65.76%,84.83%
Police Auctions | City of Los Angeles,1110,934,0:03:14,918,45.29%,78.11%
Zoning Code Information | City of Los Angeles,1095,868,0:03:30,687,37.77%,68.04%
Event Venues | City of Los Angeles,1082,912,0:01:10,39,40%,27.63%
Contact Us - The City of Los Angeles,1052,917,0:03:50,247,80.97%,67.87%
Other Job Opportunities | City of Los Angeles,1038,546,0:01:16,12,12.5%,22.45%
Search Results - The City of Los Angeles,982,787,0:01:06,18,55.56%,36.97%
City Council | City of Los Angeles,972,830,0:00:30,272,30.77%,17.08%
Abandoned Vehicles | City of Los Angeles,961,873,0:08:24,806,46.27%,84.18%
Most Requested Services | City of Los Angeles,892,737,0:00:34,22,61.9%,12.44%
Museums & Exhibits | City of Los Angeles,871,665,0:01:21,33,46.88%,28.24%
Business Opportunities with the City | City of Los Angeles,859,579,0:01:27,222,36.49%,40.16%
Tweets | City of Los Angeles,843,723,0:02:50,215,44.5%,35.94%
Transportation & Parking | City of Los Angeles,836,722,0:00:45,18,70%,19.74%
Upcoming Resident Events | City of Los Angeles,814,668,0:00:23,12,75%,6.76%
Pick Up Preferential Parking Permits | City of Los Angeles,813,713,0:05:49,683,52.33%,79.21%
Contact - The City of Los Angeles,806,641,0:02:45,215,73.83%,55.09%
Marine Aquarium | City of Los Angeles,779,562,0:00:46,16,29.41%,21.57%
Executive Jobs | City of Los Angeles,771,529,0:00:30,7,66.67%,22.96%
Parking Citation - Contest | City of Los Angeles,744,630,0:04:49,486,43.12%,70.03%
Council District 9 - The City of Los Angeles,742,579,0:03:48,552,77.36%,75.34%
Customer Service | City of Los Angeles,736,590,0:01:19,15,56.25%,21.47%
877 ASK-LAPD - Non-emergency Police Service | City of Los Angeles,729,670,0:04:15,611,78.59%,82.17%
Zoo | City of Los Angeles,719,572,0:00:48,21,57.14%,24.48%
City Job Opportunities - The City of Los Angeles,716,594,0:00:44,109,66.06%,24.58%
Traffic Accidents/Collisions - LAPD | City of Los Angeles,715,640,0:04:21,619,72.74%,84.06%
Building & Safety Property Violation Complaints | City of Los Angeles,712,610,0:04:35,482,44.88%,66.01%
Utilities | City of Los Angeles,689,559,0:00:53,198,47.98%,27.29%
Construction Permits & Inspections | City of Los Angeles,676,483,0:01:34,70,21.13%,31.66%
Fraud/Violation Reporting | City of Los Angeles,663,507,0:01:56,276,31.64%,36.65%
Transportation and Parking | City of Los Angeles,655,554,0:00:51,8,30%,20%
Report a Violation/Fraud | City of Los Angeles,652,481,0:01:06,16,25%,21.47%
"Council, Council Committees, & Ad Hoc Committees | City of Los Angeles",651,541,0:01:30,339,47.79%,43.78%
City Employee Salary Information | City of Los Angeles,650,552,0:04:39,476,34.03%,71.54%
Most Requested Services for Job-seekers | City of Los Angeles,647,531,0:00:34,5,80%,10.36%
Holiday Trash Collection | City of Los Angeles,625,564,0:02:25,526,67.55%,83.04%
Other Business Operation Permits | City of Los Angeles,620,469,0:01:13,66,22.73%,18.87%
Map Of Districts | City of Los Angeles,616,538,0:04:38,34,18.18%,45.62%
Public Infrastructure & Landscape | City of Los Angeles,603,505,0:00:55,29,84.38%,17.91%
About the Council Member - The City of Los Angeles,588,489,0:01:39,124,74.19%,43.03%
Los Angeles Convention Center Calendar of Events | City of Los Angeles,574,475,0:03:20,469,48.4%,76.66%
Section 8 Property Listing | City of Los Angeles,574,479,0:04:18,454,47.06%,75.09%
Public Safety Jobs | City of Los Angeles,564,445,0:00:25,9,44.44%,13.48%
Ultra-Low Flush Toilet Rebate | City of Los Angeles,544,463,0:03:34,459,77.12%,79.04%
Parking Enforcement - The City of Los Angeles,536,454,0:04:37,192,83.85%,68.28%
Certificate of Occupancy General Information | City of Los Angeles,511,456,0:03:16,415,46.08%,68.69%
Neighborhoods - The City of Los Angeles,509,407,0:01:28,56,64.29%,42.24%
Committee Assignments | City of Los Angeles,507,380,0:02:10,8,33.33%,43.39%
"Los Angeles City Council, Supplemental Agenda | City of Los Angeles",493,298,0:01:03,8,10%,15.01%
Most Requested Services for Visitors | City of Los Angeles,483,416,0:01:21,14,78.57%,28.36%
Recreation | City of Los Angeles,483,387,0:00:36,26,50%,22.36%
Police Reports (How to make reports/obtain copies) | City of Los Angeles,479,433,0:04:06,421,73.7%,80.17%
Parking Enforcement Officer Misconduct Complaints | City of Los Angeles,472,427,0:03:43,351,60.06%,70.76%
Graffiti Removal - Community Beautification | City of Los Angeles,464,398,0:04:14,306,46.95%,68.53%
Elections and Voting | City of Los Angeles,459,412,0:01:21,198,39.7%,38.56%
Most Requested Services for Residents | City of Los Angeles,441,379,0:00:34,10,80%,11.56%
Neighborhood Councils | City of Los Angeles,438,364,0:03:28,318,65.94%,66.44%
Building Inspection | City of Los Angeles,433,363,0:02:50,284,47.9%,59.82%
Parking Control & Enforcement | City of Los Angeles,433,345,0:01:34,27,51.85%,31.64%
View Real-Time/GIS Maps | City of Los Angeles,429,320,0:01:06,18,58.82%,24.24%
How Many Dogs And Cats Can I Have At My Home | City of Los Angeles,424,391,0:03:43,375,89.33%,87.26%
Planning and Land Use Management Committee Meeting | City of Los Angeles,418,282,0:01:22,10,30%,31.82%
Environmental Services | City of Los Angeles,417,348,0:00:27,7,57.14%,8.63%
Fence Heights Code | City of Los Angeles,414,345,0:06:29,324,37.42%,76.09%
Subscriptions | City of Los Angeles,408,313,0:00:38,11,40%,17.16%
Street Use Permits | City of Los Angeles,404,308,0:03:56,221,38.22%,59.16%
Reporting Stolen Cars - LAPD | City of Los Angeles,403,367,0:07:36,354,73.95%,86.6%
Budget & Finance Committee Meeting | City of Los Angeles,401,260,0:01:26,2,0%,26.43%
Zone Info & Map Access System (ZIMAS) Tech Support | City of Los Angeles,398,342,0:03:12,282,49.82%,68.59%
Juvenile Detention Centers - (LAPD and County) | City of Los Angeles,394,351,0:02:10,349,70.86%,77.41%
Household Appliance Pick-Up (White Goods) | City of Los Angeles,383,354,0:09:57,335,59.12%,86.42%
Los Angeles World Airports | City of Los Angeles,379,337,0:01:33,15,31.58%,33.25%
Public Safety and Emergency Services | City of Los Angeles,377,326,0:00:32,7,85.71%,12.47%
For Residents - The City of Los Angeles,376,304,0:00:40,16,68.75%,19.95%
About Gilbert Cedillo - The City of Los Angeles,369,297,0:01:22,79,46.84%,34.15%
Press Releases | City of Los Angeles,368,322,0:01:20,24,32%,26.63%
Government Finance | City of Los Angeles,363,307,0:01:18,11,46.67%,26.72%
El Pueblo Historical Monument | City of Los Angeles,362,291,0:00:52,12,50%,24.03%
Submit Reservation Or Registration | City of Los Angeles,358,287,0:00:31,10,40%,14.53%
Departments and Bureaus - The City of Los Angeles,352,268,0:04:20,12,66.67%,63.07%
Top Ten Popular City Council Files | City of Los Angeles,351,312,0:03:34,108,26.79%,42.74%
Business Assistance | City of Los Angeles,345,291,0:00:27,6,50%,13.04%
Trash Container Services | City of Los Angeles,340,297,0:03:29,192,48.21%,69.12%
"City Laws, Codes and Ordinances | City of Los Angeles",333,278,0:02:42,202,26.47%,47.45%
Emergency Medical Services Billing | City of Los Angeles,331,263,0:01:51,248,70.56%,69.18%
Trash Collection | City of Los Angeles,326,269,0:01:14,17,58.82%,42.33%
City of Los Angeles Office of Finance Paperless Statements Program | City of Los Angeles,325,283,0:02:06,12,14.29%,30.15%
Health & Human Services | City of Los Angeles,324,280,0:00:54,10,60%,15.43%
Disabled Parking Zones (Blue Curb) | City of Los Angeles,318,221,0:04:46,213,53.52%,64.15%
Electronic Waste (E-Waste) | City of Los Angeles,318,288,0:08:05,259,60.54%,84.91%
Most Requested Services for Businesses | City of Los Angeles,318,274,0:00:31,5,66.67%,12.89%
Records and Identification Division (R & I) - LAPD | City of Los Angeles,317,252,0:03:23,190,63.68%,63.72%
Construction References & Resources | City of Los Angeles,311,233,0:01:26,7,71.43%,24.12%
Dead Animal Collection | City of Los Angeles,306,264,0:02:49,188,59.04%,68.3%
GIS Maps and Statistics | City of Los Angeles,306,196,0:01:03,47,21.28%,29.08%
