Street,Cross Street,Council District,NE Quantity Constructed,NE Date Completed,NW Quantity Constructed,NW Date Completed,SE Quantity Constructed,SE Date Completed,SW Quantity Constructed,SW Date Completed,Mid-Block or Alley Quantity Constructed,Mid-Block or Alley Date Completed,From Lat-Lon,To Lat-Lon
PAXTON ST,VENA AV,6,0,,0,,1,10/02/2013,1,10/02/2013,0,,"(34.261717130000001, -118.44256448)","(34.261018630000002, -118.44352145000001)"
CHATSWORTH ST,CHATSWORTH DR,7,0,,1,10/11/2013,0,,0,,0,,"(34.264508130000003, -118.4614375)","(34.264513489999999, -118.46223386)"
SAN FERNANDO MISSION BL,AMBOY AV,7,1,10/07/2013,1,10/10/2013,1,10/04/2013,1,10/08/2013,0,,"(34.278959780000001, -118.45009929)","(34.278488299999999, -118.4507459)"
AVENUE 55,GLEN ELLEN PL,1,0,,1,10/24/2013,0,,1,10/22/2013,0,,"(34.106038810000001, -118.19477882)","(34.103674810000001, -118.19446085)"
FLORENCE AV,2ND AV,8,1,10/28/2013,1,10/28/2013,0,,0,,0,,"(33.974577600000003, -118.31970726)","(33.97457696, -118.31990483)"
8TH AV,68TH ST,8,1,10/22/2013,0,,0,,0,,0,,"(33.977347700000003, -118.32650676999999)","(33.976522410000001, -118.32651297)"
AVENUE 55,MEDIA DR,1,1,10/17/2013,0,,1,10/17/2013,1,10/22/2013,0,,"(34.106153059999997, -118.19485958999999)","(34.106038810000001, -118.19477882)"
AVENUE 55,LONGFELLOW ST,1,1,10/22/2013,1,10/17/2013,0,,1,10/17/2013,0,,"(34.107948579999999, -118.19612875999999)","(34.106153059999997, -118.19485958999999)"
VALLEY CIRCLE BL,DORIE DR,12,1,10/22/2013,0,,1,10/22/2013,0,,0,,"(34.206407679999998, -118.65347537)","(34.208303870000002, -118.64823597)"
ROSCOE BL,MARCH AV,12,1,10/23/2013,1,10/23/2013,0,,0,,0,,"(34.219173490000003, -118.64373637)","(34.219183659999999, -118.64660642)"
VALLEY CIRCLE BL,HIGHLANDER RD,12,1,10/18/2013,0,,1,10/18/2013,0,,0,,"(34.195954280000002, -118.65670376)","(34.200478029999999, -118.65615058)"
FLORENCE AV,3RD AV,8,1,10/29/2013,1,10/29/2013,0,,0,,0,,"(33.974574060000002, -118.32068058999999)","(33.97457051, -118.32165392)"
AVENUE 54,GLEN ELLEN PL,1,1,10/24/2013,1,10/25/2013,0,,0,,0,,"(34.104829930000001, -118.19580471)","(34.103536910000003, -118.19579495000001)"
AVENUE 54,TERRACE 52,1,0,,1,10/25/2013,0,,1,10/25/2013,0,,"(34.105891139999997, -118.19581272000001)","(34.104829930000001, -118.19580471)"
8TH AV,71ST ST,8,0,,1,10/18/2013,0,,1,10/18/2013,0,,"(33.975697259999997, -118.32651915)","(33.974552610000003, -118.32652775)"
SAN FERNANDO RD,LA VALLE ST,7,0,,0,,0,,1,10/17/2013,0,,"(34.30335547, -118.46465349)","(34.303917939999998, -118.46538111)"
SAN FERNANDO RD,NURMI ST,7,0,,1,10/18/2013,0,,1,10/18/2013,0,,"(34.299147920000003, -118.45920875)","(34.300085160000002, -118.46042156999999)"
SAN FERNANDO RD,ORO GRANDE ST,7,0,,0,,0,,1,10/22/2013,0,,"(34.296296419999997, -118.45551853000001)","(34.297283659999998, -118.45679613)"
ROSCOE BL,JASON AV,12,1,10/24/2013,1,10/24/2013,0,,1,10/25/2013,0,,"(34.219200280000003, -118.63547044000001)","(34.219161040000003, -118.64058415)"
MARCH AV,POMELO DR,12,1,10/31/2013,1,10/30/2013,1,10/31/2013,1,10/30/2013,0,,"(34.207469740000001, -118.64075680000001)","(34.208405890000002, -118.64159062)"
FLORENCE AV,4TH AV,8,1,11/01/2013,1,11/01/2013,0,,0,,0,,"(33.97457051, -118.32165392)","(33.974568980000001, -118.32209421)"
FIGUEROA ST,AVENUE 55,1,0,,1,10/30/2013,0,,0,,0,,"(34.107948579999999, -118.19612875999999)","(34.10824976, -118.19551835)"
FIGUEROA ST,AVENUE 53,1,0,,1,10/30/2013,0,,1,10/30/2013,0,,"(34.106586139999997, -118.19888991000001)","(34.106837630000001, -118.1983805)"
AVENUE 52,LONGFELLOW ST,1,0,,1,11/06/2013,0,,1,11/06/2013,0,,"(34.103878039999998, -118.19735187000001)","(34.103762549999999, -118.1972303)"
ROSELAWN PL,ECHO ST,1,1,11/04/2013,1,11/04/2013,0,,0,,0,,,
AVENUE 52,GLEN ELLEN PL,1,1,11/12/2013,0,,1,11/12/2013,0,,0,,"(34.103583960000002, -118.19704231999999)","(34.103176380000001, -118.19661343999999)"
AVENUE 52,FIGUEROA ST,1,1,11/06/2013,0,,1,11/06/2013,0,,0,,"(34.106281670000001, -118.19950692)","(34.107331090000002, -118.20025532)"
21ST ST,WEST VIEW ST,10,1,11/06/2013,1,11/06/2013,1,11/07/2013,1,11/07/2013,0,,"(34.037525899999999, -118.34534284999999)","(34.03795453, -118.34621577)"
WEST BL,23RD ST,10,0,,1,10/15/2013,1,10/10/2013,1,10/10/2013,0,,"(34.036112250000002, -118.33916209)","(34.034757059999997, -118.34001606)"
23RD ST,WEST VIEW ST,10,1,10/15/2013,1,10/16/2013,1,11/01/2013,1,10/22/2013,0,,"(34.035879350000002, -118.34640877)","(34.036106930000003, -118.34738722)"
23RD ST,HIGHLAND DR,10,0,,0,,1,11/04/2013,0,,0,,,
23RD ST,LONGWOOD AV,10,1,11/05/2013,1,11/01/2013,1,11/05/2013,1,10/22/2013,0,,"(34.036106930000003, -118.34738722)","(34.036230170000003, -118.34791709)"
PALM GROVE AV,23RD ST,10,0,,0,,1,10/29/2013,1,10/28/2013,0,,"(34.035098679999997, -118.34372571)","(34.034879080000003, -118.34386882)"
VICTORIA PARK DR,VICTORIA PARK PL,10,0,,1,10/21/2013,0,,0,,0,,"(34.046319179999998, -118.32978412999999)","(34.04716355, -118.33057355)"
VICTORIA PARK DR,NADEAU DR,10,0,,0,,1,10/17/2013,1,10/17/2013,0,,"(34.047229729999998, -118.33260318000001)","(34.047583580000001, -118.33369853000001)"
VICTORIA PARK DR,VICTORIA AV,10,0,,1,10/23/2013,0,,1,10/18/2013,0,,"(34.046078610000002, -118.32903926)","(34.046319179999998, -118.32978412999999)"
PLATT AV,ARCHWOOD ST,12,0,,1,11/13/2013,0,,1,11/13/2013,0,,"(34.190682600000002, -118.64279103)","(34.191521790000003, -118.64275661000001)"
