Street,Cross Street,Council District,NE Quantity Constructed,NE Date Completed,NW Quantity Constructed,NW Date Completed,SE Quantity Constructed,SE Date Completed,SW Quantity Constructed,SW Date Completed,Mid-Block or Alley Quantity Constructed,Mid-Block or Alley Date Completed,From Lat-Lon,To Lat-Lon
PICO BL,DUNSMUIR AV,10,0,,0,,1,12/23/2013,1,12/19/2013,0,,"(34.04831111, -118.35374491)","(34.048384460000001, -118.35474247000001)"
PICO BL,CARMONA AV,10,0,,0,,1,12/17/2013,1,12/13/2013,0,,"(34.048910859999999, -118.35746722)","(34.049070559999997, -118.3579186)"
PARTHENIA ST,ANDASOL AV,12,1,12/23/2013,1,12/23/2013,0,,0,,0,,"(34.228569290000003, -118.5135671)","(34.22858265, -118.51570296)"
PARTHENIA ST,ENCINO AV,12,1,12/17/2013,1,12/17/2013,1,12/18/2013,1,12/18/2013,0,,"(34.22858265, -118.51570296)","(34.228596140000001, -118.51786878999999)"
PARTHENIA ST,SHOSHONE AV,12,1,12/13/2013,1,12/13/2013,0,,0,,0,,"(34.228596140000001, -118.51786878999999)","(34.228601079999997, -118.51866588)"
PARTHENIA ST,OAK PARK AV,12,1,12/31/2013,1,12/31/2013,1,01/02/2014,1,01/02/2014,0,,"(34.228520899999999, -118.5058755)","(34.228527829999997, -118.50697339)"
HASKELL AV,RINALDI ST,12,1,01/03/2014,0,,0,,0,,0,,"(34.275485689999996, -118.47594741)","(34.279112910000002, -118.47591258)"
WILBUR AV,WILLARD ST,12,0,,0,,0,,1,12/19/2013,0,,"(34.218070040000001, -118.54480962)","(34.218861369999999, -118.54481097999999)"
BAILEY ST,PENNSYLVANIA AV,14,0,,0,,1,12/31/2013,0,,0,,"(34.047088449999997, -118.21865278)","(34.04800066, -118.21806463999999)"
WOODMAN AV,LASSEN ST,6,0,,0,,1,01/07/2014,0,,0,,,
FLORISTAN AV,CHICKASAW AV,14,0,,1,01/07/2014,0,,1,01/07/2014,0,,"(34.136525079999998, -118.19951175999999)","(34.137410330000002, -118.19890311)"
FLORISTAN AV,WALDRAN AV,14,0,,1,12/31/2013,1,12/31/2013,1,12/31/2013,0,,"(34.137410330000002, -118.19890311)","(34.138312120000002, -118.19875041)"
ARLETA AV,OTTOMAN ST,6,1,01/09/2014,1,01/08/2014,1,01/09/2014,1,01/08/2014,0,,"(34.236765400000003, -118.42046698)","(34.239090670000003, -118.42292591)"
ARLETA AV,WENTWORTH ST,6,1,01/09/2014,0,,0,,0,,0,,"(34.236111020000003, -118.41977502)","(34.236765400000003, -118.42046698)"
ARLETA AV,TONOPAH ST,6,1,01/10/2014,0,,1,01/10/2014,0,,0,,"(34.235453739999997, -118.41908074)","(34.236111020000003, -118.41977502)"
SHELDON ST,CRANFORD AV,6,0,,0,,1,01/13/2014,1,01/13/2014,0,,"(34.230185140000003, -118.40618827999999)","(34.229576309999999, -118.40702177)"
BRANFORD ST,AMBOY AV,6,0,,0,,1,01/10/2014,0,,0,,"(34.242082199999999, -118.41158962)","(34.240902920000003, -118.41320655)"
PEORIA ST,KEWEN AV,6,0,,1,01/15/2014,1,01/15/2014,1,01/15/2014,0,,"(34.229649180000003, -118.39245918)","(34.228415929999997, -118.39414976)"
SHELDON ST,MOREHART AV,6,0,,0,,1,01/14/2014,1,01/14/2014,0,,,
SUNLAND BL,NETTLETON ST,6,0,,0,,0,,1,01/17/2014,0,,"(34.224931349999999, -118.36572145)","(34.225372720000003, -118.36578808)"
PENROSE ST,CLAYBECK AV,6,0,,1,01/17/2014,0,,0,,0,,"(34.230938190000003, -118.36900842)","(34.228966069999998, -118.37171266999999)"
PEORIA ST,TELFAIR AV,6,1,01/16/2014,1,01/16/2014,0,,0,,0,,"(34.230809960000002, -118.39086847)","(34.229649180000003, -118.39245918)"
COVELLO ST,RUBIO AV,6,1,01/22/2014,1,01/22/2014,0,,0,,0,,"(34.207637159999997, -118.49566668999999)","(34.207636350000001, -118.49675198)"
SEPULVEDA BL,LANARK ST,6,1,01/22/2014,0,,1,01/22/2014,0,,0,,"(34.214216219999997, -118.46620436000001)","(34.217946400000002, -118.46629015000001)"
TUXFORD ST,GLENOAKS BL,6,0,,1,01/21/2014,0,,0,,0,,,
COUNTRY CLUB DR,LUCERNE BL,10,0,,0,,1,08/26/2013,1,08/26/2013,0,,,
STRATHERN ST,VANTAGE AV,2,0,,1,01/22/2014,1,01/17/2014,1,01/17/2014,0,,"(34.215720519999998, -118.39769292)","(34.215721369999997, -118.39875139)"
COLYTON ST,4TH ST,14,0,,0,,1,07/01/2013,1,07/01/2013,0,,"(34.043461049999998, -118.23652145)","(34.041659580000001, -118.23620509)"
PALMETTO ST,MATEO ST,14,0,,0,,0,,1,07/02/2013,0,,"(34.040371010000001, -118.23367761999999)","(34.04044304, -118.23296071)"
SEATON ST,4TH ST,14,0,,0,,1,07/01/2013,1,07/01/2013,0,,"(34.043321650000003, -118.2376981)","(34.041520120000001, -118.23738179)"
GRIFFIN AV,AVENUE 26,1,1,07/01/2013,0,,1,07/01/2013,0,,0,,"(34.075477990000003, -118.21175632000001)","(34.076545320000001, -118.21182512)"
37TH PL,HARVARD BL,8,1,07/01/2013,1,06/27/2013,1,07/02/2013,1,07/02/2013,0,,"(34.019984110000003, -118.30617182)","(34.01998768, -118.30889372)"
GAFFEY ST,26TH ST,15,1,07/03/2013,0,,1,07/01/2013,1,07/03/2013,0,,"(33.720603140000001, -118.29285409000001)","(33.719696460000002, -118.2928532)"
HANCOCK ST,GEORGE ST,1,0,,0,,1,07/03/2013,0,,0,,"(34.076036969999997, -118.20912187)","(34.076641670000001, -118.20913465)"
SIERRA ST,FLORA AV,1,0,,0,,1,07/09/2013,1,07/09/2013,0,,"(34.078696979999997, -118.20165403999999)","(34.080507369999999, -118.20169411000001)"
RAYMOND AV,35TH ST,8,1,07/10/2013,1,07/10/2013,1,07/10/2013,1,07/10/2013,0,,"(34.024592990000002, -118.29805632999999)","(34.023681230000001, -118.29804618999999)"
SWARTHMORE AV,LA CRUZ DR,11,0,,1,07/10/2013,0,,0,,0,,"(34.044685360000003, -118.52648273)","(34.045575280000001, -118.52626051999999)"
AVENUE 54,MONTE VISTA ST,1,0,,1,07/10/2013,0,,1,07/10/2013,0,,"(34.109808639999997, -118.19842448)","(34.110612600000003, -118.19899723)"
SEA VIEW AV,SAN RAFAEL AV,1,1,07/11/2013,1,07/11/2013,0,,0,,0,,,
HILL ST,CESAR E CHAVZ AV,1,1,07/12/2013,0,,0,,0,,0,,,
YUCCA ST,BRONSON AV,13,0,,1,07/02/2013,0,,1,07/02/2013,0,,"(34.104006179999999, -118.31798787)","(34.104238010000003, -118.31936612)"
FLINT AV,OAKHURST AV,5,0,,1,07/09/2013,0,,1,07/09/2013,0,,"(34.032806569999998, -118.39641511000001)","(34.033024900000001, -118.39719755)"
FLINT AV,CARDIFF AV,5,1,07/10/2013,1,07/10/2013,1,07/10/2013,1,07/11/2013,0,,"(34.033024900000001, -118.39719755)","(34.033243210000002, -118.39797996999999)"
FLINT AV,BEVERLY DR,5,1,07/11/2013,1,07/11/2013,1,07/11/2013,1,07/11/2013,0,,"(34.033243210000002, -118.39797996999999)","(34.033358939999999, -118.39839461)"
OXFORD AV,FLEMISH LANE,13,0,,1,07/01/2013,0,,1,07/01/2013,0,,,
HAYES AV,BERTHA ST,14,0,,1,08/23/2013,0,,0,,0,,,
COURT ST,BIXEL ST,1,0,,0,,1,07/15/2013,1,07/15/2013,0,,"(34.063340099999998, -118.2550164)","(34.063514840000003, -118.2554174)"
MILL ST,INDUSTRIAL ST,14,1,07/15/2013,1,07/15/2013,1,07/15/2013,0,,0,,"(34.035847259999997, -118.23442763)","(34.034714729999997, -118.23449597)"
1ST ST,TOLUCA ST,1,0,,0,,1,07/16/2013,0,,0,,"(34.06153286, -118.25861145)","(34.06200449, -118.25964741)"
VENICE BL,WESTMORELAND AV,1,1,07/17/2013,1,07/17/2013,0,,0,,0,,"(34.044242939999997, -118.28920844)","(34.044238700000001, -118.29042763)"
MILL ST,6TH ST,14,0,,0,,2,07/18/2013,1,07/18/2013,0,,"(34.038221929999999, -118.23447004000001)","(34.03721453, -118.23435488)"
