Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total
ADAMS BL,AT ,VERMONT AV,AUTO,CR,October 12 2011,WED,,,5593,8798,14391
ADAMS BL,AT ,MAPLE AV,AUTO,SR,December 12 2012,WED,0,0,12320,8635,20955
ADAMS BL,AT,BROADWAY,MAN,CR,December 12 2012,WED,,,11287,16662,27949
ADAMS BL ,AT ,NORMANDIE AV,AUTO,CR,October 12 2011,WED,,,7432,8745,16177
ADAMS BL ,AT,ELLENDALE PL,MAN,SR,February 12 2014,WED,13106,13994,0,0,27100
ADDISON ST,AT,BALBOA BL,MAN,WV,August 29 2013,THU,235,752,0,0,987
ADDISON ST,AT,VAN NUYS BL,AUTO,CR,October 12 2011,WED,,,8131,8824,16955
ALAMEDA AT,AT,E ST,AUTO,HW,July 18 2011,MON,,,2279,3531,5810
ALAMEDA AT,AT,ANAHEIM ST,MAN,CR,December 12 2012,WED,7520,7435,,,14955
ALAMEDA ST,AT,ANAHEIM ST,AUTO,SR,January 08 2013,TUE,0,0,2089,789,2878
ALAMEDA ST,AT,SLAUSON AV,AUTO,HW,July 18 2011,MON,,,1546,2605,4151
ALAMEDA ST,AT,SLAUSON AV,AUTO,HW,July 18 2011,MON,,,2093,2072,4165
ALAMEDA ST,AT,LOS ANGELES ST/UNION STATION,AUTO,HW,July 18 2011,MON,,,2099,2653,4752
ALAMEDA ST,AT,1st ST   ( early shift ),MAN,CR,March 27 2014,THU,0,0,11602,12526,24128
ALAMEDA ST,AT,101 FWY N/B ON RAMP,MAN,CR,May 21 2014,WED,0,0,10869,13491,24360
ALAMEDA ST,AT,TEMPLE ST,MAN,CR,February 19 2014,WED,0,0,10751,13665,24416
ALAMEDA ST,AT,1st ST         ( late shift ),MAN,CR,March 09 2014,WED,0,0,11917,15289,27206
ALAMEDA ST,AT,LOS ANGELES ST/UNION STATION,MAN,CR,December 12 2012,TUE,0,0,11287,16661,27948
ALAMEDA ST,AT,TEMPLE ST,MAN,CR,January 16 2014,THU,0,0,12664,16847,29511
ALAMEDA ST,AT,2 nd ST,AUTO,CR,March 11 2014,TUE,0,0,15116,15943,31059
ALAMEDA ST,AT,1 st ST,AUTO,CR,January 16 2014,THU,0,0,15698,15822,31520
ALAMEDA ST,S/O,TEMPLE ST,AUTO,CR,May 22 2014,THU,0,0,15694,17890,33584
ALAMEDA ST,AT,TEMPLE ST,AUTO,CR,January 15 2014,WED,0,0,15738,18281,34019
ALAMEDA ST,AT,COMMERCIAL ST / ALISO ST,AUTO,CR,March 06 2014,THU,0,0,17375,17140,34515
ALAMEDA ST,N/O,TEMPLE ST,AUTO,CR,May 22 2014,THU,0,0,18380,17641,36021
ALAMEDA ST ,AT,ARCADIA ST,AUTO,CR,March 12 2014,WED,0,0,19830,11799,31629
ALAMEDA ST ,AT,3 rd ST,AUTO,CR,March 05 2014,WED,0,0,15725,16294,32019
ALBANY ST,AT,JAMES M WOOD BL,MAN,CR,January 23 2013,WED,0,0,1060,0,1060
ALBANY ST,AT,JAMES M WOOD BL,AUTO,SR,January 08 2013,TUE,0,0,987,980,1967
ALBANY ST,AT,JAMES M WOOD BL,AUTO,SR,January 08 2013,TUE,0,0,1232,1240,2472
ALEXANDRIA AV,AT,FRANKLIN AV,AUTO,CR,September 21 2011,WED,2617,2684,,,5301
ALHAMBRA AV,AT,LOWELL AV,MAN,CR,December 12 2012,WED,7520,7435,0,0,14955
ALHAMBRA AV,AT,LOWELL AV,AUTO,CR,October 06 2011,THU,,,11462,12780,24242
ALHAMBRA AV,AT,LOWELL AV,AUTO,CR,October 06 2011,THU,,,13964,14962,28926
ALHAMBRA AV,AT,LOMBARDY BL,AUTO,CR,October 03 2011,MON,,,16402,15674,32076
ALHAMBRA AV,W/O,WORKMAN ST,AUTO,CR,October 03 2011,MON,,,16877,17067,33944
ALHAMBRA AV,AT,DRUID ST,AUTO,CR,October 03 2011,MON,,,17187,19525,36712
ALHAMBRA AV,AT,WARWICK AV,AUTO,CR,October 06 2011,THU,,,23688,17860,41548
ALLESANDRO ST,AT,LOMA VISTA PL,AUTO,CR,October 11 2011,TUE,,,8750,11337,20087
ALLESANDRO ST,AT,FARGO ST,AUTO,CR,October 11 2011,TUE,,,11385,13397,24782
ALLESANDRO ST,A,RIVERSIDE DR,AUTO,CR,October 11 2011,TUE,,,15923,11310,27233
ALLESANDRO ST,AT,WALCOTT WY,AUTO,CR,October 17 2011,MON,,,15441,14790,30231
ALMA ST,AT,20 th ST,AUTO,HW,February 01 2011,TUE,,,310,179,489
ALMA ST,AT,25 th ST,AUTO,EV,December 19 2012,WED,0,0,161,1095,1711
ALMA ST ,AT,12 th ST,AUTO,SR,June 17 2013,MON,0,0,642,970,1612
ALMA ST ,AT,11 th ST,AUTO,SR,June 12 2013,WED,0,0,835,977,1812
ALMA ST ,AT,10 th ST,AUTO,SR,June 17 2013,MON,0,0,910,1325,2235
ALMA ST ,N/O ,30 th ST,MAN,SR,January 19 2011,WED,12361,15541,,,27902
ALPINE ST,AT,GRAND AV,AUTO,SR,April 19 2011,TUE,13084,12767,,,25851
ALSACE AV,AT,SLAUSON AV,AUTO,SR,November 19 2013,TUE,,,50,101,151
ALVARADO ST,AT,3 rd ST,AUTO,SR,April 19 2011,TUE,5830,8772,,,14602
ALVARADO ST,AT,11 th ST,AUTO,SR,April 20 2011,WED,11342,9880,,,21222
ALVARADO ST,AT,JAMES M WOOD BL,AUTO,SR,April 20 2011,WED,13637,12651,,,26288
ALVARADO ST,AT,6 th ST,AUTO,SR,April 19 2011,TUE,16966,13089,,,30055
ALVARADO ST,AT,7 th ST,AUTO,SR,April 20 2011,WED,15112,15498,,,30610
ALVARADO ST,AT,PICO BL,AUTO,SR,December 12 2012,WED,14029,17137,0,0,31166
ALVARADO ST,AT,WILSHIRE BL,AUTO,SR,April 19 2011,TUE,19554,12980,,,32534
ALVARADO ST,N/O,HOOVER ST,AUTO,SR,April 21 2011,THU,14954,17798,,,32752
ALVARADO ST,AT,OLYMPIC BL,AUTO,SR,December 12 2012,WED,17480,15737,0,0,33217
ALVARADO ST,AT,8 th ST,AUTO,SR,April 20 2011,WED,16797,20110,,,36907
AMBOY AV,AT,BRANFORD ST,AUTO,SR,December 12 2012,WED,15498,20589,0,0,36087
AMES ST,N/O,TRACY ST,AUTO,CR,June 03 2011,FRI,,,560,1034,1594
ANAHEIM ST,AT,FARRAGUT AV,AUTO,WR,January 25 2011,TUE,,,75,58,133
ANAHEIM ST,AT,SAMPSON AV,AUTO,EV,May 31 2011,TUE,363,333,,,696
ANAHEIM ST,AT,FARRAGUT AV,AUTO,EV,May 31 2011,TUE,429,346,,,775
ANAHEIM ST,AT,ALAMEDA ST,AUTO,EV,May 31 2011,TUE,408,417,,,825
ANAHEIM ST,AT,QUAY AV,AUTO,HW,August 16 2011,TUE,589,435,,,1024
ANAHEIM ST,AT,McFARLAND AV  west jog,AUTO,EV,May 19 2011,THU,5982,3789,,,9771
ANAHEIM ST,AT,PRESIDENT ST,AUTO,SR,April 08 2014,TUE,6734,4842,0,0,11576
ANAHEIM ST,AT ,BELLE PORTE AV,AUTO,SR,August 27 2013,TUE,6737,5820,0,0,12557
ANAHEIM ST,AT,FRAMPTON AV,MAN,CR,December 06 2012,WED,13999,0,,,13999
ANAHEIM ST,AT,76 PRODUCTS LN,AUTO,WR,September 27 2011,TUE,6730,7741,,,14471
ANAHEIM ST,AT,GULF AV,MAN,CR,December 06 2012,WED,16220,0,,,16220
ANAHEIM ST,AT,FLINT AV,AUTO,EV,April 01 2011,FRI,,,8244,8182,16426
ANAHEIM ST,AT,BANNING BL,AUTO,HW,November 14 2013,THU,7794,9758,0,0,17552
ANAHEIM ST,AT,VERMONT AV,AUTO,SR,November 13 2013,WED,13333,5803,0,0,19136
ANAHEIM ST,AT,HENRY FORD AV,AUTO,SR,December 04 2012,TUE,,,10344,9603,19947
ANAHEIM ST,AT,LAKEME AV,AUTO,HW,November 14 2013,THU,10393,9675,0,0,20068
ANAHEIM ST,AT,LAGOON AV,MAN,EV,March 31 2011,THU,,,11574,9503,21077
ANAHEIM ST,AT,NEPTUNE AV,AUTO,SR,November 18 2013,MON,9907,11223,0,0,21130
ANAHEIM ST,AT,RONAN AV,AUTO,SR,November 13 2013,WED,11288,12084,0,0,23372
ANAHEIM ST,AT,KING AV,AUTO,SR,November 13 2013,WED,12058,11755,0,0,23813
ANAHEIM ST,W/O,MC FARLAND AV,AUTO,SR,July 08 2013,MON,12664,11963,0,0,24627
ANAHEIM ST,AT,HENRY FORD AV,MAN,HW,July 12 2011,TUE,,,12965,12023,24988
ANAHEIM ST,AT,McFARLAND AV,MAN,SR,April 30 2014,WED,14617,11388,0,0,26005
ANAHEIM ST,AT,WATSON AV,AUTO,HW,November 14 2013,THU,13659,13693,0,0,27352
ANAHEIM ST,AT,SAMPSON AV,AUTO,SR,November 18 2013,MON,15626,15809,0,0,31435
ANDALUSIA AV,AT,GRAND AV,MAN,WR,May 15 2013,WED,0,0,193,160,353
ANDERSON ST,N/O,JESSIE ST,AUTO,CR,June 13 2011,MON,,,10014,8931,18945
ANDRITA ST,W/O,FLETCHER DR,AUTO,CR,January 23 2014,THU,646,591,0,0,1237
