Year,Period,Area,Unemployment Rate,Labor Force,Employment,Unemployment,Adjusted,Preliminary
1992,Aug,Los Angeles County,10.5%,4481900,4011200,470700,Not Adj,Not Prelim
1992,Sep,California,9.5%,15360200,13898600,1461600,Not Adj,Not Prelim
1992,Sep,Los Angeles County,10.5%,4461000,3994800,466200,Not Adj,Not Prelim
1992,Oct,California,9.300000000000001%,15314400,13883800,1430600,Not Adj,Not Prelim
1992,Oct,Los Angeles County,9.9%,4437700,3996300,441400,Not Adj,Not Prelim
1992,Nov,California,9.800000000000001%,15331300,13835000,1496300,Not Adj,Not Prelim
1992,Nov,Los Angeles County,10.1%,4433600,3985500,448100,Not Adj,Not Prelim
1992,Dec,California,9.6%,15288200,13826700,1461500,Not Adj,Not Prelim
1992,Dec,Los Angeles County,9.9%,4409000,3972400,436600,Not Adj,Not Prelim
1991,Jan,California,7.6%,14958800,13821000,1137800,Not Adj,Not Prelim
1991,Jan,Los Angeles County,7%,4389300,4082900,306300,Not Adj,Not Prelim
1991,Feb,California,8%,15035600,13833500,1202000,Not Adj,Not Prelim
1991,Feb,Los Angeles County,7.4%,4439400,4110000,329400,Not Adj,Not Prelim
1991,Mar,California,8%,15038200,13837600,1200700,Not Adj,Not Prelim
1991,Mar,Los Angeles County,7.4%,4440500,4112500,328000,Not Adj,Not Prelim
1991,Apr,California,7.4%,15031200,13916200,1115100,Not Adj,Not Prelim
1991,Apr,Los Angeles County,7.2%,4417100,4098100,319000,Not Adj,Not Prelim
1991,May,California,7.6%,15020200,13874800,1145400,Not Adj,Not Prelim
1991,May,Los Angeles County,8%,4418200,4066900,351300,Not Adj,Not Prelim
1991,Jun,California,7.8%,15163700,13980800,1182900,Not Adj,Not Prelim
1991,Jun,Los Angeles County,8.300000000000001%,4457200,4089100,368100,Not Adj,Not Prelim
1991,Jul,California,8.1%,15269300,14030100,1239100,Not Adj,Not Prelim
1991,Jul,Los Angeles County,8.800000000000001%,4513400,4116600,396800,Not Adj,Not Prelim
1991,Aug,California,7.6%,15192500,14038500,1154100,Not Adj,Not Prelim
1991,Aug,Los Angeles County,8.5%,4480400,4099600,380800,Not Adj,Not Prelim
1991,Sep,California,7.6%,15154900,13999400,1155500,Not Adj,Not Prelim
1991,Sep,Los Angeles County,8.6%,4496300,4108700,387500,Not Adj,Not Prelim
1991,Oct,California,7.6%,15165000,14006800,1158300,Not Adj,Not Prelim
1991,Oct,Los Angeles County,8.4%,4500600,4124800,375900,Not Adj,Not Prelim
1991,Nov,California,7.9%,15132000,13942800,1189200,Not Adj,Not Prelim
1991,Nov,Los Angeles County,8.300000000000001%,4483100,4110500,372600,Not Adj,Not Prelim
1991,Dec,California,8%,15103100,13898700,1204300,Not Adj,Not Prelim
1991,Dec,Los Angeles County,8.4%,4465100,4091900,373200,Not Adj,Not Prelim
1990,Jan,California,5.6%,15092800,14244400,848500,Not Adj,Not Prelim
1990,Jan,Los Angeles County,5.9%,4564100,4296100,268000,Not Adj,Not Prelim
1990,Feb,California,5.6%,15129600,14284200,845300,Not Adj,Not Prelim
1990,Feb,Los Angeles County,5.7%,4570200,4310700,259500,Not Adj,Not Prelim
1990,Mar,California,5.4%,15163000,14345000,818000,Not Adj,Not Prelim
1990,Mar,Los Angeles County,5.5%,4570900,4321600,249300,Not Adj,Not Prelim
1990,Apr,California,5.3%,15143000,14335400,807600,Not Adj,Not Prelim
1990,Apr,Los Angeles County,5.4%,4541400,4294600,246900,Not Adj,Not Prelim
1990,May,California,5.2%,15235000,14435400,799600,Not Adj,Not Prelim
1990,May,Los Angeles County,5.4%,4558800,4313300,245500,Not Adj,Not Prelim
1990,Jun,California,5.2%,15302500,14500800,801700,Not Adj,Not Prelim
1990,Jun,Los Angeles County,5.2%,4543500,4308600,234900,Not Adj,Not Prelim
1990,Jul,California,6%,15445200,14525500,919700,Not Adj,Not Prelim
1990,Jul,Los Angeles County,6%,4586400,4309100,277400,Not Adj,Not Prelim
1990,Aug,California,5.7%,15391900,14520700,871200,Not Adj,Not Prelim
1990,Aug,Los Angeles County,6.1%,4573400,4295900,277500,Not Adj,Not Prelim
1990,Sep,California,6%,15016600,14121800,894800,Not Adj,Not Prelim
1990,Sep,Los Angeles County,6.2%,4457100,4178900,278200,Not Adj,Not Prelim
1990,Oct,California,6%,15057100,14155600,901500,Not Adj,Not Prelim
1990,Oct,Los Angeles County,6.1%,4448800,4177800,271000,Not Adj,Not Prelim
1990,Nov,California,6.6%,15032300,14041900,990400,Not Adj,Not Prelim
1990,Nov,Los Angeles County,6.3%,4434500,4155900,278500,Not Adj,Not Prelim
1990,Dec,California,6.6%,15013500,14018800,994700,Not Adj,Not Prelim
1990,Dec,Los Angeles County,6.3%,4435400,4154000,281400,Not Adj,Not Prelim
1989,Jan,California,5.7%,14320900,13509400,811500,Not Adj,Not Prelim
1989,Jan,Los Angeles County,5.4%,4354400,4120000,234400,Not Adj,Not Prelim
1989,Feb,California,5.4%,14332400,13551800,780600,Not Adj,Not Prelim
1989,Feb,Los Angeles County,5.1%,4374600,4151100,223500,Not Adj,Not Prelim
1989,Mar,California,5.1%,14340200,13612300,728000,Not Adj,Not Prelim
1989,Mar,Los Angeles County,4.8%,4371500,4160100,211400,Not Adj,Not Prelim
1989,Apr,California,5%,14355300,13631800,723400,Not Adj,Not Prelim
1989,Apr,Los Angeles County,5.2%,4366000,4139100,227000,Not Adj,Not Prelim
1989,May,California,4.9%,14404600,13704000,700500,Not Adj,Not Prelim
1989,May,Los Angeles County,5.3%,4378200,4144500,233600,Not Adj,Not Prelim
1989,Jun,California,5.2%,14569100,13808700,760400,Not Adj,Not Prelim
1989,Jun,Los Angeles County,5.8%,4406300,4152800,253600,Not Adj,Not Prelim
1989,Jul,California,5.6%,14729700,13905900,823800,Not Adj,Not Prelim
1989,Jul,Los Angeles County,6.5%,4486600,4194500,292000,Not Adj,Not Prelim
1989,Aug,California,4.9%,14686000,13965500,720600,Not Adj,Not Prelim
1989,Aug,Los Angeles County,5.9%,4449900,4187900,262100,Not Adj,Not Prelim
1989,Sep,California,5%,14574600,13848600,726100,Not Adj,Not Prelim
1989,Sep,Los Angeles County,5.8%,4439400,4182600,256800,Not Adj,Not Prelim
1989,Oct,California,4.9%,14645300,13932900,712400,Not Adj,Not Prelim
1989,Oct,Los Angeles County,5.4%,4460300,4219500,240800,Not Adj,Not Prelim
1989,Nov,California,5.2%,14668000,13910200,757800,Not Adj,Not Prelim
1989,Nov,Los Angeles County,5.5%,4458500,4215000,243500,Not Adj,Not Prelim
1989,Dec,California,4.9%,14582400,13865700,716700,Not Adj,Not Prelim
1989,Dec,Los Angeles County,5.2%,4426600,4195300,231300,Not Adj,Not Prelim
1988,Jan,California,5.9%,13904900,13088000,816900,Not Adj,Not Prelim
1988,Jan,Los Angeles County,5.6%,4296500,4055600,240900,Not Adj,Not Prelim
1988,Feb,California,5.9%,13953500,13136500,817000,Not Adj,Not Prelim
1988,Feb,Los Angeles County,5.5%,4322200,4086200,236000,Not Adj,Not Prelim
1988,Mar,California,5.5%,13936300,13165100,771200,Not Adj,Not Prelim
1988,Mar,Los Angeles County,4.9%,4304100,4093500,210600,Not Adj,Not Prelim
1988,Apr,California,5.1%,13965500,13258000,707500,Not Adj,Not Prelim
1988,Apr,Los Angeles County,4.5%,4284300,4092800,191400,Not Adj,Not Prelim
1988,May,California,5.3%,14016000,13280000,736000,Not Adj,Not Prelim
1988,May,Los Angeles County,5%,4290000,4075800,214200,Not Adj,Not Prelim
1988,Jun,California,5.2%,14165400,13421900,743500,Not Adj,Not Prelim
1988,Jun,Los Angeles County,5.1%,4301300,4081200,220100,Not Adj,Not Prelim
1988,Jul,California,5.7%,14327600,13510200,817400,Not Adj,Not Prelim
1988,Jul,Los Angeles County,5.9%,4374300,4116400,257900,Not Adj,Not Prelim
1988,Aug,California,5.3%,14335800,13580700,755100,Not Adj,Not Prelim
1988,Aug,Los Angeles County,5.5%,4363400,4122600,240700,Not Adj,Not Prelim
1988,Sep,California,5%,14194900,13489900,705000,Not Adj,Not Prelim
1988,Sep,Los Angeles County,5.1%,4338500,4117900,220600,Not Adj,Not Prelim
1988,Oct,California,4.9%,14269800,13574500,695200,Not Adj,Not Prelim
1988,Oct,Los Angeles County,4.8%,4348300,4137600,210600,Not Adj,Not Prelim
1988,Nov,California,5.1%,14301800,13579200,722600,Not Adj,Not Prelim
1988,Nov,Los Angeles County,4.8%,4371200,4160400,210700,Not Adj,Not Prelim
1988,Dec,California,4.7%,14247600,13575800,671800,Not Adj,Not Prelim
1988,Dec,Los Angeles County,4.5%,4361600,4164200,197400,Not Adj,Not Prelim
1987,Jan,California,7%,13477400,12540300,937000,Not Adj,Not Prelim
1987,Jan,Los Angeles County,6.5%,4139400,3868400,271000,Not Adj,Not Prelim
1987,Feb,California,6.9%,13548100,12617700,930400,Not Adj,Not Prelim
1987,Feb,Los Angeles County,6.6%,4173100,3898900,274200,Not Adj,Not Prelim
1987,Mar,California,6.5%,13569200,12684800,884300,Not Adj,Not Prelim
1987,Mar,Los Angeles County,6.3%,4176800,3914100,262800,Not Adj,Not Prelim
1987,Apr,California,5.9%,13558700,12759300,799400,Not Adj,Not Prelim
1987,Apr,Los Angeles County,6.1%,4162800,3909900,252900,Not Adj,Not Prelim
1987,May,California,5.6%,13672700,12907000,765700,Not Adj,Not Prelim
1987,May,Los Angeles County,6%,4198700,3947300,251400,Not Adj,Not Prelim
1987,Jun,California,5.6%,13726400,12961700,764700,Not Adj,Not Prelim
1987,Jun,Los Angeles County,5.8%,4202000,3959300,242600,Not Adj,Not Prelim
1987,Jul,California,6%,13916800,13086000,830900,Not Adj,Not Prelim
1987,Jul,Los Angeles County,6.4%,4282000,4007800,274200,Not Adj,Not Prelim
1987,Aug,California,5.5%,13940600,13179900,760700,Not Adj,Not Prelim
1987,Aug,Los Angeles County,5.9%,4272100,4020600,251500,Not Adj,Not Prelim
1987,Sep,California,5.4%,13818000,13073100,744900,Not Adj,Not Prelim
1987,Sep,Los Angeles County,5.8%,4270100,4022700,247400,Not Adj,Not Prelim
1987,Oct,California,5.4%,13915200,13161700,753500,Not Adj,Not Prelim
1987,Oct,Los Angeles County,5.6%,4302300,4061000,241300,Not Adj,Not Prelim
1987,Nov,California,5.3%,13908800,13164700,744100,Not Adj,Not Prelim
1987,Nov,Los Angeles County,5.1%,4304500,4085000,219600,Not Adj,Not Prelim
1987,Dec,California,5%,13876700,13184200,692500,Not Adj,Not Prelim
1987,Dec,Los Angeles County,4.8%,4299800,4094900,204900,Not Adj,Not Prelim
1986,Jan,California,7.1%,13018900,12100600,918300,Not Adj,Not Prelim
1986,Jan,Los Angeles County,6.6%,4014100,3748700,265500,Not Adj,Not Prelim
1986,Feb,California,7.6%,13110300,12120200,990100,Not Adj,Not Prelim
1986,Feb,Los Angeles County,6.9%,4042400,3763500,279000,Not Adj,Not Prelim
1986,Mar,California,7.2%,13150700,12202700,948000,Not Adj,Not Prelim
1986,Mar,Los Angeles County,6.4%,4049500,3791200,258300,Not Adj,Not Prelim
1986,Apr,California,6.8%,13129800,12236000,893800,Not Adj,Not Prelim
1986,Apr,Los Angeles County,6.3%,4039400,3785000,254400,Not Adj,Not Prelim
1986,May,California,6.5%,13192500,12331300,861200,Not Adj,Not Prelim
1986,May,Los Angeles County,6.4%,4061200,3801900,259300,Not Adj,Not Prelim
1986,Jun,California,6.8%,13383600,12474400,909200,Not Adj,Not Prelim
1986,Jun,Los Angeles County,6.8%,4108200,3826900,281200,Not Adj,Not Prelim
1986,Jul,California,7.2%,13540500,12569700,970900,Not Adj,Not Prelim
1986,Jul,Los Angeles County,7.6%,4172800,3857600,315100,Not Adj,Not Prelim
1986,Aug,California,6.5%,13536000,12653500,882500,Not Adj,Not Prelim
1986,Aug,Los Angeles County,7.2%,4161800,3863800,298100,Not Adj,Not Prelim
1986,Sep,California,6.4%,13447100,12580300,866900,Not Adj,Not Prelim
1986,Sep,Los Angeles County,7%,4166000,3872500,293500,Not Adj,Not Prelim
1986,Oct,California,6.4%,13515700,12654000,861700,Not Adj,Not Prelim
1986,Oct,Los Angeles County,6.5%,4172500,3900300,272200,Not Adj,Not Prelim
1986,Nov,California,6.5%,13519300,12639200,880000,Not Adj,Not Prelim
1986,Nov,Los Angeles County,6.4%,4180200,3912800,267300,Not Adj,Not Prelim
1986,Dec,California,6.1%,13469900,12648700,821200,Not Adj,Not Prelim
1986,Dec,Los Angeles County,5.9%,4160000,3912900,247100,Not Adj,Not Prelim
1985,Jan,California,8.1%,12797100,11764600,1032500,Not Adj,Not Prelim
1985,Jan,Los Angeles County,7.8%,3957900,3650600,307300,Not Adj,Not Prelim
1985,Feb,California,7.8%,12820800,11823400,997400,Not Adj,Not Prelim
1985,Feb,Los Angeles County,7.4%,3964600,3670500,294200,Not Adj,Not Prelim
1985,Mar,California,7.5%,12878500,11908000,970600,Not Adj,Not Prelim
1985,Mar,Los Angeles County,7.1%,3971900,3689000,282800,Not Adj,Not Prelim
1985,Apr,California,7.2%,12845500,11915700,929700,Not Adj,Not Prelim
1985,Apr,Los Angeles County,7.1%,3953700,3671800,281900,Not Adj,Not Prelim
1985,May,California,6.9%,12861100,11980100,881000,Not Adj,Not Prelim
1985,May,Los Angeles County,7%,3940300,3665000,275300,Not Adj,Not Prelim
1985,Jun,California,7.3%,12956200,12008100,948100,Not Adj,Not Prelim
1985,Jun,Los Angeles County,7.3%,3953400,3664000,289400,Not Adj,Not Prelim
1985,Jul,California,7.7%,13113200,12106200,1007100,Not Adj,Not Prelim
1985,Jul,Los Angeles County,7.8%,4019600,3705700,313900,Not Adj,Not Prelim
1985,Aug,California,7%,13092100,12171600,920400,Not Adj,Not Prelim
1985,Aug,Los Angeles County,7.2%,4004300,3717900,286400,Not Adj,Not Prelim
1985,Sep,California,6.9%,13039500,12136200,903300,Not Adj,Not Prelim
1985,Sep,Los Angeles County,6.9%,4023000,3744600,278300,Not Adj,Not Prelim
1985,Oct,California,6.9%,13100600,12198200,902400,Not Adj,Not Prelim
1985,Oct,Los Angeles County,6.8%,4048700,3774300,274400,Not Adj,Not Prelim
1985,Nov,California,6.7%,13042000,12170100,871900,Not Adj,Not Prelim
1985,Nov,Los Angeles County,6.2%,4015600,3765200,250500,Not Adj,Not Prelim
1985,Dec,California,6.5%,13026200,12183800,842400,Not Adj,Not Prelim
1985,Dec,Los Angeles County,5.9%,4020200,3781800,238400,Not Adj,Not Prelim
1984,Jan,California,9%,12323200,11213200,1110100,Not Adj,Not Prelim
1984,Jan,Los Angeles County,8.5%,3809100,3486200,322800,Not Adj,Not Prelim
1984,Feb,California,8.800000000000001%,12370700,11286300,1084400,Not Adj,Not Prelim
1984,Feb,Los Angeles County,8.1%,3821300,3513000,308300,Not Adj,Not Prelim
1984,Mar,California,8.4%,12400900,11354500,1046500,Not Adj,Not Prelim
1984,Mar,Los Angeles County,7.9%,3826000,3523200,302800,Not Adj,Not Prelim
1984,Apr,California,8%,12430300,11438000,992400,Not Adj,Not Prelim
1984,Apr,Los Angeles County,7.7%,3821300,3526400,295000,Not Adj,Not Prelim
1984,May,California,7.4%,12527700,11604500,923200,Not Adj,Not Prelim
1984,May,Los Angeles County,7.5%,3838500,3552000,286500,Not Adj,Not Prelim
1984,Jun,California,7.5%,12692300,11744300,948000,Not Adj,Not Prelim
1984,Jun,Los Angeles County,7.8%,3859300,3558400,301000,Not Adj,Not Prelim
1984,Jul,California,8.1%,12848600,11810400,1038300,Not Adj,Not Prelim
1984,Jul,Los Angeles County,8.699999999999999%,3939700,3596300,343400,Not Adj,Not Prelim
1984,Aug,California,7.6%,12826300,11855900,970500,Not Adj,Not Prelim
1984,Aug,Los Angeles County,8.300000000000001%,3937100,3609100,328000,Not Adj,Not Prelim
1984,Sep,California,7.4%,12744900,11803900,940900,Not Adj,Not Prelim
1984,Sep,Los Angeles County,8%,3945500,3628800,316700,Not Adj,Not Prelim
1984,Oct,California,7.2%,12791200,11868300,922800,Not Adj,Not Prelim
1984,Oct,Los Angeles County,7.7%,3958700,3653600,305100,Not Adj,Not Prelim
1984,Nov,California,7.1%,12773700,11860500,913200,Not Adj,Not Prelim
1984,Nov,Los Angeles County,7.3%,3961500,3674300,287200,Not Adj,Not Prelim
1984,Dec,California,7.1%,12788400,11881600,906700,Not Adj,Not Prelim
1984,Dec,Los Angeles County,7.1%,3981200,3699800,281400,Not Adj,Not Prelim
1983,Jan,California,11.7%,12201200,10773400,1427800,Not Adj,Not Prelim
1983,Jan,Los Angeles County,11.1%,3783900,3363400,420500,Not Adj,Not Prelim
1983,Feb,California,11.7%,12184700,10763700,1421000,Not Adj,Not Prelim
1983,Feb,Los Angeles County,11%,3775300,3361500,413800,Not Adj,Not Prelim
1983,Mar,California,11%,12154800,10812200,1342600,Not Adj,Not Prelim
1983,Mar,Los Angeles County,10.4%,3756700,3366800,389900,Not Adj,Not Prelim
1983,Apr,California,10.4%,12120600,10862000,1258700,Not Adj,Not Prelim
1983,Apr,Los Angeles County,10%,3750900,3375300,375600,Not Adj,Not Prelim
1983,May,California,9.800000000000001%,12134100,10940300,1193800,Not Adj,Not Prelim
1983,May,Los Angeles County,9.699999999999999%,3758900,3393700,365200,Not Adj,Not Prelim
1983,Jun,California,10.1%,12332200,11088400,1243800,Not Adj,Not Prelim
1983,Jun,Los Angeles County,10.5%,3821000,3420400,400600,Not Adj,Not Prelim
1983,Jul,California,9.800000000000001%,12458100,11231500,1226600,Not Adj,Not Prelim
1983,Jul,Los Angeles County,10.3%,3852600,3457300,395400,Not Adj,Not Prelim
1983,Aug,California,9.4%,12486000,11317400,1168600,Not Adj,Not Prelim
1983,Aug,Los Angeles County,9.9%,3870800,3488000,382800,Not Adj,Not Prelim
1983,Sep,California,8.800000000000001%,12362200,11275400,1086800,Not Adj,Not Prelim
1983,Sep,Los Angeles County,9.300000000000001%,3859700,3500200,359600,Not Adj,Not Prelim
1983,Oct,California,8.6%,12353400,11290900,1062500,Not Adj,Not Prelim
1983,Oct,Los Angeles County,8.800000000000001%,3847100,3506800,340300,Not Adj,Not Prelim
1983,Nov,California,8.5%,12368400,11318800,1049700,Not Adj,Not Prelim
1983,Nov,Los Angeles County,8.199999999999999%,3847600,3531000,316600,Not Adj,Not Prelim
1983,Dec,California,8.300000000000001%,12353900,11330400,1023500,Not Adj,Not Prelim
1983,Dec,Los Angeles County,7.8%,3842300,3542000,300300,Not Adj,Not Prelim
1982,Jan,California,9.4%,11910700,10786900,1123800,Not Adj,Not Prelim
1982,Jan,Los Angeles County,8.5%,3765200,3445400,319800,Not Adj,Not Prelim
1982,Feb,California,9.699999999999999%,11963000,10806100,1156900,Not Adj,Not Prelim
1982,Feb,Los Angeles County,8.5%,3791300,3467900,323400,Not Adj,Not Prelim
1982,Mar,California,9.6%,11979300,10827700,1151700,Not Adj,Not Prelim
1982,Mar,Los Angeles County,8.4%,3789500,3469900,319600,Not Adj,Not Prelim
1982,Apr,California,9.6%,11990900,10844700,1146200,Not Adj,Not Prelim
1982,Apr,Los Angeles County,8.5%,3784400,3461000,323500,Not Adj,Not Prelim
1982,May,California,9.199999999999999%,12073700,10965400,1108300,Not Adj,Not Prelim
1982,May,Los Angeles County,8.5%,3797100,3472600,324500,Not Adj,Not Prelim
1982,Jun,California,9.800000000000001%,12159100,10966100,1193000,Not Adj,Not Prelim
1982,Jun,Los Angeles County,9.1%,3787800,3443000,344700,Not Adj,Not Prelim
1982,Jul,California,10.6%,12342900,11035200,1307700,Not Adj,Not Prelim
1982,Jul,Los Angeles County,10.1%,3861000,3470700,390200,Not Adj,Not Prelim
1982,Aug,California,10.1%,12350400,11099300,1251200,Not Adj,Not Prelim
1982,Aug,Los Angeles County,9.6%,3845400,3474700,370700,Not Adj,Not Prelim
1982,Sep,California,10.1%,12255800,11023200,1232600,Not Adj,Not Prelim
1982,Sep,Los Angeles County,9.699999999999999%,3840500,3468700,371700,Not Adj,Not Prelim
1982,Oct,California,10.4%,12280100,11003200,1276900,Not Adj,Not Prelim
1982,Oct,Los Angeles County,10.1%,3826200,3439900,386300,Not Adj,Not Prelim
1982,Nov,California,11%,12265700,10922400,1343300,Not Adj,Not Prelim
1982,Nov,Los Angeles County,10.4%,3813200,3417500,395700,Not Adj,Not Prelim
1982,Dec,California,10.9%,12232400,10893200,1339200,Not Adj,Not Prelim
1982,Dec,Los Angeles County,10.199999999999999%,3807900,3417800,390000,Not Adj,Not Prelim
1981,Jan,California,7.9%,11698000,10772000,925900,Not Adj,Not Prelim
1981,Jan,Los Angeles County,7.2%,3753600,3485100,268500,Not Adj,Not Prelim
1981,Feb,California,7.8%,11716300,10797300,919000,Not Adj,Not Prelim
1981,Feb,Los Angeles County,7.1%,3750000,3485300,264700,Not Adj,Not Prelim
1981,Mar,California,7.4%,11747800,10876500,871400,Not Adj,Not Prelim
1981,Mar,Los Angeles County,6.7%,3750300,3497500,252900,Not Adj,Not Prelim
1981,Apr,California,6.9%,11730100,10916000,814100,Not Adj,Not Prelim
1981,Apr,Los Angeles County,6.5%,3740000,3495600,244300,Not Adj,Not Prelim
1981,May,California,6.6%,11752800,10974400,778300,Not Adj,Not Prelim
1981,May,Los Angeles County,6.5%,3728900,3488400,240500,Not Adj,Not Prelim
1981,Jun,California,7.1%,11772700,10941300,831400,Not Adj,Not Prelim
1981,Jun,Los Angeles County,6.7%,3710600,3460200,250400,Not Adj,Not Prelim
1981,Jul,California,7.4%,11942500,11061400,881000,Not Adj,Not Prelim
1981,Jul,Los Angeles County,7.3%,3800100,3524600,275500,Not Adj,Not Prelim
1981,Aug,California,7.1%,11978600,11130000,848600,Not Adj,Not Prelim
1981,Aug,Los Angeles County,7%,3802200,3535400,266800,Not Adj,Not Prelim
1981,Sep,California,7.1%,11814500,10971100,843400,Not Adj,Not Prelim
1981,Sep,Los Angeles County,7.1%,3762900,3494500,268500,Not Adj,Not Prelim
1981,Oct,California,7.5%,11934900,11038700,896300,Not Adj,Not Prelim
1981,Oct,Los Angeles County,7.2%,3788500,3517200,271300,Not Adj,Not Prelim
1981,Nov,California,8.1%,11944300,10982400,962000,Not Adj,Not Prelim
1981,Nov,Los Angeles County,7.2%,3799000,3525500,273500,Not Adj,Not Prelim
1981,Dec,California,8.300000000000001%,11899500,10911500,988100,Not Adj,Not Prelim
1981,Dec,Los Angeles County,7.4%,3787500,3507900,279600,Not Adj,Not Prelim
1980,Jan,California,6.8%,11437600,10663000,774500,Not Adj,Not Prelim
1980,Jan,Los Angeles County,5.8%,3740600,3522700,217900,Not Adj,Not Prelim
1980,Feb,California,6.8%,11450300,10676700,773500,Not Adj,Not Prelim
1980,Feb,Los Angeles County,5.7%,3757000,3541300,215700,Not Adj,Not Prelim
1980,Mar,California,6.5%,11457000,10709400,747700,Not Adj,Not Prelim
1980,Mar,Los Angeles County,5.5%,3755300,3549200,206100,Not Adj,Not Prelim
1980,Apr,California,6.7%,11452300,10679600,772700,Not Adj,Not Prelim
1980,Apr,Los Angeles County,5.9%,3751900,3529700,222200,Not Adj,Not Prelim
1980,May,California,6.6%,11456800,10702500,754300,Not Adj,Not Prelim
1980,May,Los Angeles County,6.1%,3748700,3519800,228900,Not Adj,Not Prelim
1980,Jun,California,7.2%,11580500,10746400,834100,Not Adj,Not Prelim
1980,Jun,Los Angeles County,6.8%,3760000,3505800,254300,Not Adj,Not Prelim
1980,Jul,California,7.6%,11744300,10852500,891800,Not Adj,Not Prelim
1980,Jul,Los Angeles County,7.4%,3825700,3543100,282600,Not Adj,Not Prelim
1980,Aug,California,7.3%,11789300,10929800,859400,Not Adj,Not Prelim
1980,Aug,Los Angeles County,7.4%,3832500,3548700,283800,Not Adj,Not Prelim
1980,Sep,California,6.8%,11642500,10856400,786000,Not Adj,Not Prelim
1980,Sep,Los Angeles County,7.2%,3806600,3531700,274900,Not Adj,Not Prelim
1980,Oct,California,6.8%,11706100,10912000,794100,Not Adj,Not Prelim
1980,Oct,Los Angeles County,7.1%,3819300,3549100,270200,Not Adj,Not Prelim
1980,Nov,California,7%,11698100,10883800,814300,Not Adj,Not Prelim
1980,Nov,Los Angeles County,7%,3799700,3533700,266000,Not Adj,Not Prelim
1980,Dec,California,6.5%,11638800,10885000,753900,Not Adj,Not Prelim
1980,Dec,Los Angeles County,6.3%,3777600,3541500,236100,Not Adj,Not Prelim
1979,Jan,California,7.2%,11100500,10304500,796000,Not Adj,Not Prelim
1979,Jan,Los Angeles County,6.4%,3668500,3434900,233700,Not Adj,Not Prelim
1979,Feb,California,7.1%,11134000,10349000,785000,Not Adj,Not Prelim
1979,Feb,Los Angeles County,6.1%,3678300,3453400,224900,Not Adj,Not Prelim
1979,Mar,California,6.6%,11120200,10380900,739300,Not Adj,Not Prelim
1979,Mar,Los Angeles County,5.7%,3657400,3448800,208500,Not Adj,Not Prelim
1979,Apr,California,6.2%,11053800,10369600,684200,Not Adj,Not Prelim
1979,Apr,Los Angeles County,5.4%,3604600,3408900,195700,Not Adj,Not Prelim
1979,May,California,5.6%,11065800,10448300,617400,Not Adj,Not Prelim
1979,May,Los Angeles County,5%,3589500,3410000,179500,Not Adj,Not Prelim
1979,Jun,California,6.1%,11244900,10560700,684100,Not Adj,Not Prelim
1979,Jun,Los Angeles County,5.5%,3612200,3415300,197000,Not Adj,Not Prelim
1979,Jul,California,6.4%,11421900,10686300,735600,Not Adj,Not Prelim
1979,Jul,Los Angeles County,6.1%,3684500,3458000,226500,Not Adj,Not Prelim
1979,Aug,California,6.4%,11460000,10730900,729100,Not Adj,Not Prelim
1979,Aug,Los Angeles County,6.1%,3672800,3450600,222200,Not Adj,Not Prelim
1979,Sep,California,5.9%,11385000,10708200,676800,Not Adj,Not Prelim
1979,Sep,Los Angeles County,5.5%,3677200,3473500,203700,Not Adj,Not Prelim
1979,Oct,California,5.9%,11449900,10773900,676000,Not Adj,Not Prelim
1979,Oct,Los Angeles County,5.3%,3694800,3497600,197200,Not Adj,Not Prelim
1979,Nov,California,5.9%,11432600,10754100,678500,Not Adj,Not Prelim
1979,Nov,Los Angeles County,5%,3722000,3537000,185000,Not Adj,Not Prelim
1979,Dec,California,5.8%,11478600,10815400,663300,Not Adj,Not Prelim
1979,Dec,Los Angeles County,4.7%,3748900,3571300,177600,Not Adj,Not Prelim
1978,Jan,California,8.1%,10610100,9749700,860400,Not Adj,Not Prelim
1978,Jan,Los Angeles County,7.8%,3497900,3226600,271300,Not Adj,Not Prelim
1978,Feb,California,8.1%,10646400,9783600,862800,Not Adj,Not Prelim
1978,Feb,Los Angeles County,7.7%,3513300,3241100,272200,Not Adj,Not Prelim
1978,Mar,California,7.9%,10728400,9876300,852100,Not Adj,Not Prelim
1978,Mar,Los Angeles County,7.5%,3529900,3264300,265700,Not Adj,Not Prelim
1978,Apr,California,7.3%,10769400,9983800,785600,Not Adj,Not Prelim
1978,Apr,Los Angeles County,7.2%,3529600,3276700,253000,Not Adj,Not Prelim
1978,May,California,6.8%,10793600,10061300,732300,Not Adj,Not Prelim
1978,May,Los Angeles County,6.8%,3529900,3289200,240700,Not Adj,Not Prelim
1978,Jun,California,7.2%,10970700,10184000,786700,Not Adj,Not Prelim
1978,Jun,Los Angeles County,7%,3563800,3313400,250400,Not Adj,Not Prelim
1978,Jul,California,7.9%,11093900,10222600,871400,Not Adj,Not Prelim
1978,Jul,Los Angeles County,7.7%,3635800,3357200,278600,Not Adj,Not Prelim
1978,Aug,California,6.9%,11098900,10330500,768400,Not Adj,Not Prelim
1978,Aug,Los Angeles County,6.5%,3631800,3394800,237100,Not Adj,Not Prelim
1978,Sep,California,6.6%,11009500,10280700,728800,Not Adj,Not Prelim
1978,Sep,Los Angeles County,6.4%,3661300,3428700,232600,Not Adj,Not Prelim
1978,Oct,California,6.2%,11067000,10378300,688700,Not Adj,Not Prelim
