Year,Period,Area,Unemployment Rate,Labor Force,Employment,Unemployment,Adjusted,Preliminary
2000,Aug,California,5.1%,16975200,16112200,863100,Not Adj,Not Prelim
2000,Aug,Los Angeles County,5.9%,4692200,4416100,276200,Not Adj,Not Prelim
2000,Aug,Los Angeles City,6.5%,1826700,1707300,119400,Not Adj,Not Prelim
2000,Sep,California,4.6%,16866800,16092900,774000,Not Adj,Not Prelim
2000,Sep,Los Angeles County,5.3%,4693200,4442800,250400,Not Adj,Not Prelim
2000,Sep,Los Angeles City,5.9%,1825900,1717700,108200,Not Adj,Not Prelim
2000,Oct,California,4.5%,16951200,16180900,770300,Not Adj,Not Prelim
2000,Oct,Los Angeles County,5.1%,4703500,4464100,239400,Not Adj,Not Prelim
2000,Oct,Los Angeles City,5.7%,1829400,1725900,103500,Not Adj,Not Prelim
2000,Nov,California,4.6%,16938400,16155700,782600,Not Adj,Not Prelim
2000,Nov,Los Angeles County,4.8%,4709600,4483800,225800,Not Adj,Not Prelim
2000,Nov,Los Angeles City,5.3%,1831100,1733500,97600,Not Adj,Not Prelim
2000,Dec,California,4.4%,17012500,16262900,749600,Not Adj,Not Prelim
2000,Dec,Los Angeles County,4.6%,4734200,4518800,215500,Not Adj,Not Prelim
2000,Dec,Los Angeles City,5.1%,1840200,1747000,93200,Not Adj,Not Prelim
1999,Jan,California,6.1%,16290500,15288800,1001700,Not Adj,Not Prelim
1999,Jan,Los Angeles County,6.5%,4538700,4241700,297000,Not Adj,Not Prelim
1999,Feb,California,6%,16327100,15350700,976400,Not Adj,Not Prelim
1999,Feb,Los Angeles County,6.3%,4553500,4266700,286800,Not Adj,Not Prelim
1999,Mar,California,5.7%,16337700,15400500,937200,Not Adj,Not Prelim
1999,Mar,Los Angeles County,5.9%,4553400,4283100,270300,Not Adj,Not Prelim
1999,Apr,California,5.3%,16274300,15417200,857100,Not Adj,Not Prelim
1999,Apr,Los Angeles County,5.6%,4509400,4257400,252000,Not Adj,Not Prelim
1999,May,California,4.7%,16282600,15510200,772400,Not Adj,Not Prelim
1999,May,Los Angeles County,5.1%,4510100,4278500,231500,Not Adj,Not Prelim
1999,Jun,California,5.3%,16431200,15563700,867500,Not Adj,Not Prelim
1999,Jun,Los Angeles County,5.9%,4535200,4269300,265900,Not Adj,Not Prelim
1999,Jul,California,5.6%,16534300,15605900,928500,Not Adj,Not Prelim
1999,Jul,Los Angeles County,6.5%,4606600,4307700,298900,Not Adj,Not Prelim
1999,Aug,California,5.1%,16501200,15666200,835000,Not Adj,Not Prelim
1999,Aug,Los Angeles County,6.2%,4599000,4316000,283100,Not Adj,Not Prelim
1999,Sep,California,4.9%,16466800,15655600,811200,Not Adj,Not Prelim
1999,Sep,Los Angeles County,6.1%,4626300,4342200,284100,Not Adj,Not Prelim
1999,Oct,California,4.8%,16554500,15753400,801100,Not Adj,Not Prelim
1999,Oct,Los Angeles County,5.9%,4634500,4362100,272400,Not Adj,Not Prelim
1999,Nov,California,4.8%,16549700,15755700,794000,Not Adj,Not Prelim
1999,Nov,Los Angeles County,5.5%,4633800,4378700,255100,Not Adj,Not Prelim
1999,Dec,California,4.7%,16617000,15834900,782100,Not Adj,Not Prelim
1999,Dec,Los Angeles County,5.3%,4654900,4409200,245700,Not Adj,Not Prelim
1998,Jan,California,6.6%,15957700,14912100,1045700,Not Adj,Not Prelim
1998,Jan,Los Angeles County,6.5%,4481200,4188100,293100,Not Adj,Not Prelim
1998,Feb,California,6.3%,16014000,15006300,1007700,Not Adj,Not Prelim
1998,Feb,Los Angeles County,6.3%,4514900,4230800,284100,Not Adj,Not Prelim
1998,Mar,California,6.5%,16099600,15058000,1041600,Not Adj,Not Prelim
1998,Mar,Los Angeles County,6.7%,4549100,4246400,302700,Not Adj,Not Prelim
1998,Apr,California,5.6%,15999500,15100900,898600,Not Adj,Not Prelim
1998,Apr,Los Angeles County,6.1%,4499100,4226700,272400,Not Adj,Not Prelim
1998,May,California,5.5%,16055000,15168800,886200,Not Adj,Not Prelim
1998,May,Los Angeles County,6.2%,4502500,4222700,279800,Not Adj,Not Prelim
1998,Jun,California,6%,16158100,15191400,966700,Not Adj,Not Prelim
1998,Jun,Los Angeles County,6.7%,4505700,4202800,302900,Not Adj,Not Prelim
1998,Jul,California,6.3%,16291000,15261800,1029200,Not Adj,Not Prelim
1998,Jul,Los Angeles County,7.3%,4576100,4243500,332600,Not Adj,Not Prelim
1998,Aug,California,6%,16273500,15299900,973500,Not Adj,Not Prelim
1998,Aug,Los Angeles County,7.1%,4564800,4242800,322100,Not Adj,Not Prelim
1998,Sep,California,5.9%,16271900,15313000,958900,Not Adj,Not Prelim
1998,Sep,Los Angeles County,7.1%,4598700,4274000,324700,Not Adj,Not Prelim
1998,Oct,California,5.8%,16307100,15361200,946000,Not Adj,Not Prelim
1998,Oct,Los Angeles County,6.9%,4593400,4277900,315500,Not Adj,Not Prelim
1998,Nov,California,5.6%,16276300,15360800,915500,Not Adj,Not Prelim
1998,Nov,Los Angeles County,6.3%,4593600,4303600,290000,Not Adj,Not Prelim
1998,Dec,California,5.5%,16299100,15410200,889000,Not Adj,Not Prelim
1998,Dec,Los Angeles County,6%,4569600,4294600,275000,Not Adj,Not Prelim
1997,Jan,California,7.6%,15561800,14386400,1175400,Not Adj,Not Prelim
1997,Jan,Los Angeles County,8%,4350000,4001000,349100,Not Adj,Not Prelim
1997,Feb,California,7.2%,15599600,14476900,1122800,Not Adj,Not Prelim
