APC,CPA,Geographic Area,Case Type,Case Number,Date Filed,Date Completed                                                                                                                                                                                                                                                 
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-872-SPP-DB-DI                                       , 27-Mar-2013 , 14-Mar-2014                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , CPC                                                          , CPC-2011-927-GPA-ZC-HD-SP-CUB-M1                             , 11-Sep-2013 ,                                                                                                                                                                       
NV         , Arleta - Pacoima                                                            , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-534-ZC-CU-CDO                                     , 27-Feb-2013 , 15-Oct-2013                                                                                                                                                           
NV         , Mission Hills - Panorama City - North Hills                                 , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-1276-ZC-ZAA                                       , 30-Apr-2013 , 19-Feb-2014                                                                                                                                                           
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-846-ZC                                            , 22-Mar-2013 , 05-Aug-2013                                                                                                                                                           
CW         , Citywide                                                                    , CITYWIDE                                                                                             , CPC                                                          , CPC-2013-1318-GPA                                            , 02-May-2013 , 09-Oct-2013                                                                                                                                                           
NV         , Mission Hills - Panorama City - North Hills                                 , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2013-3074-CU-ZAA-SPR                                     , 02-Oct-2013 ,                                                                                                                                                                       
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , CPC                                                          , CPC-2013-521-DB-SPR                                          , 26-Feb-2013 ,                                                                                                                                                                       
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-1388-ZC                                           , 10-May-2013 , 16-May-2014                                                                                                                                                           
NV         , Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon  , IN TRANSITION                                                                                        , CPC                                                          , CPC-2006-4047-CU-PA1                                         , 24-Jun-2013 , 25-Sep-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2013-1442-ZC-CU-SPR                                      , 15-May-2013 ,                                                                                                                                                                       
NV         , Sun Valley - La Tuna Canyon                                                 , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-3457-SPE-CUW-SPP                                  , 30-Oct-2013 ,                                                                                                                                                                       
C          , Central City                                                                , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-4051-DA                                             , 18-Dec-2013 ,                                                                                                                                                                       
H          , Harbor Gateway                                                              ,                                                                                                      , CPC                                                          , CPC-2009-4168-CU-ZV-SPR-M1                                   , 03-Apr-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , APCC                                                         , APCC-2013-1834-BL                                            , 18-Jun-2013 ,                                                                                                                                                                       
NV         , Sun Valley - La Tuna Canyon                                                 , IN TRANSITION                                                                                        , CPC                                                          , CPC-2009-3429-CU-PA1                                         , 17-Jan-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2013-190-RFA                                             , 22-Jan-2013 , 26-Aug-2013                                                                                                                                                           
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-2365-ZC-CDO                                       , 05-Aug-2013 , 16-May-2014                                                                                                                                                           
NV         , Chatsworth - Porter Ranch                                                   , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2013-1953-ZC-CU-SPR                                      , 27-Jun-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2013-555-ZC-SPR                                          , 28-Feb-2013 , 24-Dec-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , APCC                                                         , APCC-2013-581-ZC-HD                                          , 04-Mar-2013 , 24-Sep-2013                                                                                                                                                           
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-2882-ZC-BL                                        , 13-Sep-2013 ,                                                                                                                                                                       
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , CPC                                                          , CPC-2013-2547-CU                                             , 19-Aug-2013 , 25-Mar-2014                                                                                                                                                           
NV         , Sun Valley - La Tuna Canyon                                                 , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2002-6068-CU-ZV-PA1                                      , 04-Dec-2013 , 28-Jan-2014                                                                                                                                                           
NV         , Arleta - Pacoima                                                            , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2013-885-CU                                              , 27-Mar-2013 ,                                                                                                                                                                       
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , CPC                                                          , CPC-2013-2551-CUB-ZV-DB-SPR                                  , 19-Aug-2013 ,                                                                                                                                                                       
E          , Silver Lake - Echo Park - Elysian Valley                                    , EAST                                                                                                 , CPC                                                          , CPC-2013-3319-DB-SPR                                         , 22-Oct-2013 ,                                                                                                                                                                       
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2006-7806-CU-SPE-SPR-PA4                                 , 29-Oct-2013 ,                                                                                                                                                                       
W          , Westwood                                                                    , WEST                                                                                                 , APCW                                                         , APCW-2013-2708-SPE-DRB-SPP                                   , 30-Aug-2013 ,                                                                                                                                                                       
NV         , Mission Hills - Panorama City - North Hills                                 , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2013-1151-CU-ZV-ZAA                                      , 18-Apr-2013 , 14-Mar-2014                                                                                                                                                           
NV         , Sun Valley - La Tuna Canyon                                                 , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-1187-ZC-DB                                        , 22-Apr-2013 , 30-Sep-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2013-985-DB-SPR                                          , 04-Apr-2013 , 14-Mar-2014                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , CPC                                                          , CPC-2013-3340-GPA-ZC-DB-SPR                                  , 23-Oct-2013 ,                                                                                                                                                                       
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-3834-GPA-ZC-HD-CU-CUB-SPR                           , 03-Dec-2013 ,                                                                                                                                                                       
E          , Northeast Los Angeles                                                       , UNKNOWN                                                                                              , CPC                                                          , CPC-2000-2750-PP-PUB-CU-SPR-SPE-PA2                          , 05-Jun-2013 ,                                                                                                                                                                       
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , CPC                                                          , CPC-2013-3262-PUB-ZV-ZAA-SPR                                 , 17-Oct-2013 ,                                                                                                                                                                       
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-72-DB-COA                                           , 10-Jan-2013 , 09-Jul-2013                                                                                                                                                           
SV         , North Hollywood - Valley Village                                            , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-2476-SPE-SPP-ZV-CU                                , 13-Aug-2013 , 08-Oct-2013                                                                                                                                                           
NV         , Mission Hills - Panorama City - North Hills                                 , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-3600-ZC                                           , 12-Nov-2013 ,                                                                                                                                                                       
W          , West Los Angeles                                                            , WEST                                                                                                 , CPC                                                          , CPC-2013-3641-ZC-DB                                          , 13-Nov-2013 ,                                                                                                                                                                       
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , CPC                                                          , CPC-2013-226-SPE-CU-ZAA-CCMP-SPP                             , 25-Jan-2013 , 21-Jun-2013                                                                                                                                                           
SV         , North Hollywood - Valley Village                                            , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2013-2004-CU                                             , 02-Jul-2013 ,                                                                                                                                                                       
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-676-BL                                            , 12-Mar-2013 , 03-Sep-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2013-7-GPA-ZC-ZAD-SPR                                    , 02-Jan-2013 , 28-Jan-2014                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2013-551-ZC-CUB-CU-ZAA-SPR                               , 28-Feb-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , APCC                                                         , APCC-2013-1033-ZC                                            , 09-Apr-2013 , 20-Feb-2014                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , CPC                                                          , CPC-2013-3704-CU-ZAA                                         , 19-Nov-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2013-1996-GPA-ZC-HD-SPR                                  , 02-Jul-2013 ,                                                                                                                                                                       
C          , Central City                                                                , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-4050-GPA-ZC-HD-SN-CU-MCUP-ZV-SPR                    , 18-Dec-2013 ,                                                                                                                                                                       
W          , West Los Angeles                                                            ,                                                                                                      , CPC                                                          , CPC-2009-817-DA-M1                                           , 24-Jan-2013 ,                                                                                                                                                                       
NV         , Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon  , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2012-856-CU-PA1                                          , 19-Aug-2013 , 11-Feb-2014                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , CPC                                                          , CPC-2013-3151-ZC-SPR                                         , 08-Oct-2013 ,                                                                                                                                                                       
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-3467-ZC-ZV-ZAA                                    , 31-Oct-2013 ,                                                                                                                                                                       
NV         , Granada Hills - Knollwood                                                   , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2006-5084-SPE-SPP-ZV-CU-ZAD-SPR-PA1                    , 18-Jul-2013 ,                                                                                                                                                                       
NV         , Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon  , UNKNOWN                                                                                              , APCNV                                                        , APCNV-2007-3727-ZC-CUB-ZAA-SPP-PA1                           , 24-Jan-2013 , 19-Jul-2013                                                                                                                                                           
NV         , Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon  , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2013-2749-ZC-SPP                                         , 04-Sep-2013 ,                                                                                                                                                                       
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2013-3554-ZC-HD-ZV-CU-ZAA                                , 06-Nov-2013 ,                                                                                                                                                                       
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-3648-ZC                                           , 14-Nov-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2013-2184-GPA-ZC-SPR                                     , 18-Jul-2013 ,                                                                                                                                                                       
W          , Westwood                                                                    , WEST                                                                                                 , APCW                                                         , APCW-2013-1929-SPE-DRB-SPP                                   , 27-Jun-2013 ,                                                                                                                                                                       
C          , Central City North                                                          , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-1999-157-PAD-PA4                                         , 09-Dec-2013 , 26-Feb-2014                                                                                                                                                           
NV         , Mission Hills - Panorama City - North Hills                                 , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2013-1003-CU-DB                                          , 05-Apr-2013 ,                                                                                                                                                                       
NV         , Chatsworth - Porter Ranch                                                   , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2013-2078-GPA-ZC-ZV-BL-SPR                               , 10-Jul-2013 ,                                                                                                                                                                       
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , APCC                                                         , APCC-2013-3288-SPE-ZAA-SPPA-SPP                              , 18-Oct-2013 ,                                                                                                                                                                       
W          , West Los Angeles                                                            , WEST                                                                                                 , CPC                                                          , CPC-2013-1739-ZC-DB-SPR                                      , 10-Jun-2013 ,                                                                                                                                                                       
S          , West Adams - Baldwin Hills - Leimert                                        , SOUTH                                                                                                , APCS                                                         , APCS-2013-4102-SPE-DRB-SPP-SPR                               , 20-Dec-2013 ,                                                                                                                                                                       
CW         , Citywide                                                                    , CITYWIDE                                                                                             , CPC                                                          , CPC-2013-3169                                                , 09-Oct-2013 , 19-May-2014                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , APCC                                                         , APCC-2013-924-ZC-CUB-ZV                                      , 01-Apr-2013 ,                                                                                                                                                                       
C          , Hollywood                                                                   , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2008-5028-CU-PA1                                         , 11-Dec-2013 ,                                                                                                                                                                       
C          , Central City                                                                , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-4134-TDR-MCUP-ZV-SPR                                , 23-Dec-2013 ,                                                                                                                                                                       
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-739-CU-ZAA-F-SPR                                    , 15-Mar-2013 , 23-Dec-2013                                                                                                                                                           
W          , West Los Angeles                                                            , WEST                                                                                                 , CPC                                                          , CPC-2011-1923-CU-SPR-PA1                                     , 09-Oct-2013 ,                                                                                                                                                                       
C          , Central City North                                                          , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-3737-GPA-ZC-ZAA-SPR                                 , 21-Nov-2013 ,                                                                                                                                                                       
H          , Wilmington - Harbor City                                                    , HARBOR                                                                                               , CPC                                                          , CPC-2013-2471-ZC-ZV-ZAA-SPR                                  , 13-Aug-2013 ,                                                                                                                                                                       
S          , Southeast Los Angeles                                                       , SOUTH                                                                                                , CPC                                                          , CPC-2013-337-GPA-ZC-DB-SPR                                   , 07-Feb-2013 , 15-Jul-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2013-1001-ZC-BL-ZV                                       , 05-Apr-2013 , 09-Oct-2013                                                                                                                                                           
W          , West Los Angeles                                                            , WEST                                                                                                 , CPC                                                          , CPC-2013-210-SPP-SPR-MSC                                     , 24-Jan-2013 ,                                                                                                                                                                       
SV         , Canoga Park - Winnetka - Woodland Hills - West Hills                        , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2013-964-CU                                              , 03-Apr-2013 ,                                                                                                                                                                       
C          , Central City North                                                          , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2004-4139-CUB-ZV-ZAD-PA1                                 , 22-Apr-2013 , 30-Aug-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-1308-SPP                                            , 02-May-2013 , 08-Nov-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-969-CWC                                             , 18-Mar-2013 , 03-Apr-2013                                                                                                                                                           
SV         , Encino - Tarzana                                                            , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-1143-SPP                                            , 17-Apr-2013 , 06-May-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2013-550-CWNC                                            , 27-Feb-2013 , 28-Feb-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-2033-CWC                                            , 05-Jul-2013 , 05-Jul-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-2108-CWC                                            , 27-Jun-2013 , 12-Jul-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-258-VSO                                             , 30-Jan-2013 ,                                                                                                                                                                       
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-1774-VSO                                            , 13-Jun-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-324-CWC                                             , 08-Jan-2013 , 06-Feb-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-3199-CWC                                            , 10-Oct-2013 , 10-Oct-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2013-576-COA                                             , 04-Mar-2013 , 18-Dec-2013                                                                                                                                                           
