DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,277361
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,2669
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,Domestic,Charter,889
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,Domestic,Commuter,6114
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,277816
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,2798
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,Domestic,Charter,1350
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,7106
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,274416
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,2620
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,Domestic,Charter,1709
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,Domestic,Commuter,6764
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,270497
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,2590
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Arrival,Domestic,Charter,356
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,10630
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,199770
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,1944
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Departure,Domestic,Charter,559
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Departure,Domestic,Commuter,10639
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,200721
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Departure,International,Charter,57
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,1954
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Arrival,Domestic,Charter,353
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,11255
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,217662
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Arrival,International,Charter,47
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,3106
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Departure,Domestic,Charter,419
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Departure,Domestic,Commuter,11280
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,214610
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Departure,International,Charter,99
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,2643
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Arrival,Domestic,Charter,453
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,9797
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,195340
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,2927
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,Domestic,Charter,455
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,Domestic,Commuter,9960
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,192985
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,International,Charter,47
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,2868
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,Domestic,Charter,122
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,9660
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,199327
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,International,Charter,310
