DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Arrival,International,Freight,57072
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Arrival,International,Mail,552
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Departure,Domestic,Freight,40147
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Departure,Domestic,Mail,2517
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Departure,International,Freight,38239
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Departure,International,Mail,1027
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Arrival,Domestic,Freight,38323
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Arrival,Domestic,Mail,1850
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Arrival,International,Freight,65728
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Arrival,International,Mail,557
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Departure,Domestic,Freight,38434
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Departure,Domestic,Mail,1870
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Departure,International,Freight,37856
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Departure,International,Mail,2559
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Arrival,Domestic,Freight,40772
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Arrival,Domestic,Mail,1981
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Arrival,International,Freight,61191
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Arrival,International,Mail,618
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Departure,Domestic,Freight,41338
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Departure,Domestic,Mail,2016
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Departure,International,Freight,37607
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Departure,International,Mail,1202
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Arrival,Domestic,Freight,36344
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Arrival,Domestic,Mail,2158
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Arrival,International,Freight,56786
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Arrival,International,Mail,769
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Departure,Domestic,Freight,40773
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Departure,Domestic,Mail,2001
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Departure,International,Freight,33557
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Departure,International,Mail,2810
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Arrival,Domestic,Freight,37530
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Arrival,Domestic,Mail,2042
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Arrival,International,Freight,56553
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Arrival,International,Mail,1309
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Departure,Domestic,Freight,42958
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Departure,Domestic,Mail,2066
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Departure,International,Freight,34810
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Departure,International,Mail,1565
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Arrival,Domestic,Freight,36417
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Arrival,Domestic,Mail,1906
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Arrival,International,Freight,48033
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Arrival,International,Mail,962
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Departure,Domestic,Freight,38566
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Departure,Domestic,Mail,1970
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Departure,International,Freight,31805
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Departure,International,Mail,1816
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Arrival,Domestic,Freight,34246
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Arrival,Domestic,Mail,1708
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Arrival,International,Freight,48596
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Arrival,International,Mail,795
